,caseid_new,w4_xqualified,w4_status,w4_complete,w4_source,w4_duration,w4_HCMST_interview_fin_yrmo,w4_xtype,w4_xyear,w4_xmonth,w4_xmarry,w4_xlast,w4_xwave1_month,w4_xcivil,w4_xss,w4_q1,w4_q2,w4_quality,w4_attractive,w4_attractive_partner,w4_q3,w4_q4,w4_mbtiming_year,w4_mbtiming_month,w4_q5,w4_q6,w4_q7,w4_mar_year,w4_mar_month,w4_civ_year,w4_q8_a,w4_q8_b,w4_q9,w4_q10,w4_nonmbtiming_year,w4_nonmbtiming_month,relationship_quality_w4,w4_broke_up,w234_combo_breakup,pp4_ppeduc,pp4_ppeducat,pp4_ppethm,pp4_pphhhead,pp4_pphhsize,pp4_pphouse,pp4_ppincimp,pp4_ppmarit,pp4_ppmsacat,pp4_ppreg4,pp4_ppreg9,pp4_pprent,pp4_ppt01,pp4_ppt25,pp4_ppt612,pp4_ppt1317,pp4_ppt18ov,pp4_ppwork,pp4_ppnet,pp4_ppcmdate_yrmo,pp4_newer,ppa2009_services_yrmo,ppa2009_how_often_services
1282,1441235,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,3,A one-family house attached to one or more houses,"$25,000 to $29,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
1283,1442415,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree,Some college,"White, Non-Hispanic",Yes,3,A building with 2 or more apartments,"$12,500 to $14,999",Never married,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,3,Not working - disabled,Yes,201305.0,Yes,200903.0,Once a year or less
1284,1443503,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",No,2,A one-family house attached to one or more houses,"$85,000 to $99,999",Divorced,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once or twice a month
1285,1444575,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,Yes,201305.0,Yes,200903.0,More than once a week
1286,1445491,qualified for wave 4,Active,Yes,On-line,1.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
1287,1446561,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Good,moderately attractive,slightly attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once a week
1288,1447506,qualified for wave 4,Do not call,No,,,,different sex couple,2009.0,February,Unmarried partners,4.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"Black, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,No,200904.0,No,200903.0,Once a week
1289,1449706,qualified for wave 4,Withdrawn,No,,,,same-sex couple,2011.0,April,Married,2.0,2.0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201003.0,No,200903.0,A few times a year
1290,1450553,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009.0,February,Unmarried partners,4.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200905.0,No,200810.0,
1291,1451501,qualified for wave 4,Active,Yes,On-line,9671.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",No,4,A one-family house detached from any other house,"$175,000 or more",Married,Metro,South,South Atlantic,Rented for cash,0,0,0,1,3,Working - as a paid employee,Yes,201306.0,Yes,200905.0,
1292,1453663,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,Non-Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,No,201305.0,Yes,200903.0,A few times a year
1293,1454411,qualified for wave 4,Active,No,,,,different sex couple,2011.0,April,Married,2.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$12,500 to $14,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,1,1,2,Not working - looking for work,Yes,201206.0,Yes,200903.0,
1294,1455762,unqualified for wave 4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$12,500 to $14,999",Widowed,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,200904.0,No,200903.0,A few times a year
1295,1456556,qualified for wave 4,Active,Yes,On-line,5.0,201303.0,same-sex couple,2011.0,April,Married,2.0,2.0,Yes,No,yes,yes,Excellent,moderately attractive,slightly attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$30,000 to $34,999",Married,Metro,West,Pacific,Occupied without payment of cash rent,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200905.0,A few times a year
1296,1457395,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,4,A one-family house detached from any other house,"$35,000 to $39,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,4,Not working - looking for work,No,200904.0,No,200902.0,A few times a year
1297,1458801,qualified for wave 4,Retired,No,,,,different sex couple,2010.0,March,Married,3.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$15,000 to $19,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200904.0,No,200903.0,Never
1298,1459321,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010.0,March,Married,3.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"2+ Races, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200904.0,No,200903.0,Never
1299,1461341,qualified for wave 4,Do not call,No,,,,different sex couple,2010.0,March,Married,3.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,1,2,0,2,Working - as a paid employee,Yes,201009.0,No,201003.0,More than once a week
1300,1462605,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200904.0,No,200903.0,Once a week
1301,1463856,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Associate degree,Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$85,000 to $99,999",Widowed,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,201309.0,Yes,200902.0,A few times a year
1302,1464431,qualified for wave 4,Active,Yes,On-line,1.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Good,moderately attractive,very attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,4,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,2,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
1303,1465371,qualified for wave 4,Active,Yes,On-line,23.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,slightly attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,Hispanic,No,1,A building with 2 or more apartments,"$100,000 to $124,999",Married,Metro,Northeast,New England,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201207.0,Yes,200903.0,Never
1304,1466245,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,moderately attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,1,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once a week
1305,1467541,qualified for wave 4,Withdrawn,Yes,Telephone,,201304.0,different sex couple,2011.0,June,Married,2.0,2.0,No,No,yes,yes,Excellent,very attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",7th or 8th grade,Less than high school,"White, Non-Hispanic",Yes,2,A mobile home,"$10,000 to $12,499",Married,Metro,West,,Rented for cash,0,0,0,0,2,Not working - disabled,Yes,200904.0,No,200905.0,Never
1306,1468606,qualified for wave 4,Active,Yes,On-line,16.0,201304.0,different sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,No,,,Good,moderately attractive,slightly attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Associate degree,Some college,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$35,000 to $39,999",Living with partner,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a year or less
1307,1469225,qualified for wave 4,Active,Yes,On-line,4.0,201303.0,different sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,No,,,Excellent,moderately attractive,very attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$12,500 to $14,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - looking for work,Yes,201305.0,Yes,200902.0,Once a week
1308,1470685,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$10,000 to $12,499",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,No,201207.0,Yes,200903.0,Never
1309,1471753,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree,Some college,"Black, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$25,000 to $29,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,No,200907.0,No,200902.0,More than once a week
1310,1472491,qualified for wave 4,Active,Yes,On-line,6.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Good,moderately attractive,very attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - self-employed,Yes,201305.0,Yes,200903.0,Once a year or less
1311,1473421,qualified for wave 4,Active,Yes,On-line,1.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,moderately attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,1,1,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once or twice a month
1312,1474566,qualified for wave 4,Active,Yes,On-line,1.0,201303.0,same-sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,Yes,,,Good,slightly attractive,slightly attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,Hispanic,Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201305.0,Yes,200905.0,
1313,1475711,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011.0,April,Married,2.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Not working - retired,Yes,201107.0,No,200902.0,Once a week
1314,1476271,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010.0,April,Married,3.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,West,Mountain,Rented for cash,0,0,2,0,2,Working - as a paid employee,Yes,200905.0,No,200903.0,Once a week
1315,1477205,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,different sex couple,2011.0,March,Unmarried partners,2.0,2.0,No,No,,,Excellent,moderately attractive,moderately attractive,,,,,Yes,Yes,"Yes, married [xnamep]",2012.0,June,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$175,000 or more",Married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,More than once a week
1316,1478566,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,same-sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,Yes,,,Excellent,moderately attractive,very attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200902.0,Once a year or less
1317,1479275,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4","Some college, no degree",Some college,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$35,000 to $39,999",Never married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - on temporary layoff from a job,Yes,201305.0,Yes,200902.0,Once or twice a month
1318,1480621,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201306.0,Yes,200903.0,Once a week
1319,1482336,qualified for wave 4,Active,Yes,On-line,6.0,201303.0,same-sex couple,2011.0,April,Married,2.0,2.0,Yes,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$125,000 to $149,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200902.0,A few times a year
1320,1483395,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A mobile home,"$40,000 to $49,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,201001.0,
1321,1484521,qualified for wave 4,Active,Yes,On-line,1.0,201304.0,different sex couple,2011.0,March,Married,2.0,2.0,No,No,yes,yes,Good,moderately attractive,not at all attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - disabled,Yes,201306.0,Yes,200903.0,Once a year or less
1322,1485791,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011.0,April,Married,2.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$30,000 to $34,999",Married,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,2,Not working - retired,No,201309.0,Yes,200903.0,More than once a week
1323,1486713,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$12,500 to $14,999",Divorced,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Not working - retired,Yes,200908.0,No,200903.0,A few times a year
1324,1487565,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"Black, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$10,000 to $12,499",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,No,201105.0,No,200902.0,
1325,1488486,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010.0,June,Unmarried partners,3.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,200904.0,No,200905.0,Never
1326,1489295,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree,Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,More than once a week
1327,1490563,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Professional or Doctorate degree,Bachelor's degree or higher,Hispanic,Yes,1,A building with 2 or more apartments,"$85,000 to $99,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201306.0,Yes,200903.0,Once a week
1328,1491391,qualified for wave 4,Active,Yes,On-line,4.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,slightly attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,1,1,2,Working - as a paid employee,Yes,201307.0,Yes,200903.0,Once a week
1329,1492642,qualified for wave 4,Active,Yes,On-line,4.0,201303.0,different sex couple,2011.0,April,Unmarried partners,2.0,2.0,No,No,,,Excellent,moderately attractive,moderately attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201306.0,Yes,200903.0,Never
1330,1493501,qualified for wave 4,Active,Yes,On-line,2.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4.0,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$175,000 or more",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,201305.0,Yes,200907.0,Once a year or less
1331,1494381,qualified for wave 4,Active,Yes,On-line,6.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,very attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",Associate degree,Some college,"Black, Non-Hispanic",Yes,4,A one-family house attached to one or more houses,"$85,000 to $99,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,2,0,2,Working - as a paid employee,Yes,201305.0,Yes,200904.0,A few times a year
1332,1495643,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$12,500 to $14,999",Divorced,Metro,West,Mountain,Rented for cash,0,0,0,0,1,Not working - disabled,Yes,200905.0,No,200907.0,Once a week
1333,1496621,qualified for wave 4,Retired,No,,,,different sex couple,2011.0,June,Married,2.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200904.0,No,200904.0,Once or twice a month
1334,1497641,qualified for wave 4,Active,Yes,On-line,8.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,not at all attractive,moderately attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$20,000 to $24,999",Married,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - retired,Yes,201306.0,Yes,200902.0,Once a year or less
1335,1498471,qualified for wave 4,Active,Yes,On-line,0.0,201303.0,different sex couple,2011.0,April,Married,2.0,2.0,No,No,yes,yes,Excellent,very attractive,very attractive,,,,,,,,,,,,,,,,,5.0,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201305.0,Yes,200903.0,Never
1336,1499563,unqualified for wave 4,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$30,000 to $34,999",Divorced,Metro,West,Mountain,Rented for cash,0,0,0,0,1,Working - self-employed,Yes,200710.0,No,200903.0,More than once a week
1337,1500551,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010.0,May,Married,3.0,2.0,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,Hispanic,Yes,4,A building with 2 or more apartments,"$50,000 to $59,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,1,0,3,Not working - looking for work,Yes,200904.0,No,200903.0,A few times a year
