,caseid_new,w5_duration,w5_source,w5_complete,w5_status,w5x_qualified,w5x_marry,w5x_last,w5x_year,w5x_civil,w5x_month,w5x_civyear,w5x_civmonth,w5_q1,w5_q2,w5_sex_frequency,w5_p_monogamy,w5_identity,w5_outness,w5_q3,w5_q4,w5_mbtiming_month,w5_mbtiming_year,w5_q5,w5_q6,w5_q7,w5_mar_year,w5_mar_month,w5_q8,w5_civ_year,w5_civ_month,w5_q9,w5_q10,w5_nonmbtiming_year,w5_nonmbtiming_month,w5_broke_up,w5_HCMST_interview_fin_yrmo,w2345_combo_breakup,responded_to_w234or5,pp5_ppage,pp5_ppagecat,pp5_ppagect4,pp5_ppeduc,pp5_ppeducat,pp5_ppethm,pp5_ppgender,pp5_pphhhead,pp5_pphhsize,pp5_pphouse,pp5_ppincimp,pp5_ppmarit,pp5_ppcmdate_yrmo,pp5_newer,pp5_ppmsacat,pp5_ppreg4,pp5_ppreg9,pp5_pprent,pp5_ppt01,pp5_ppt25,pp5_ppt612,pp5_ppt1317,pp5_ppt18ov,pp5_ppwork,pp5_ppnet,ppmarit_2014,ppcmarit_2014_yrmo,ppmarit_2013,ppcmarit_2013_yrmo,ppmarit_2012,ppcmarit_2012_yrmo,ppmarit_2011,ppcmarit_2011_yrmo,ppmarit_2010,ppcmarit_2010_yrmo,ppmarit_2009,ppcmarit_2009_yrmo,ppmarit_2007,ppcmarit_2007_yrmo
1275,1434421,2.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,48,45-54,45-59,Associate degree,Some college,"Black, Non-Hispanic",Male,1,5,A one-family house detached from any other house,"$40,000 to $49,999",Married,201306.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,2,3,Working - as a paid employee,Yes,Married,201412.0,Married,201306.0,Married,201207.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
1276,1435285,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,34,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"Less than $5,000",Never married,201306.0,No,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,0,1,1,Not working - looking for work,Yes,,,Never married,201306.0,Never married,201301.0,Never married,201108.0,Never married,201011.0,Never married,200904.0,Never married,200710.0
1277,1436742,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,75+,60+,11th grade,Less than high school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$12,500 to $14,999",Widowed,201305.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,,,Widowed,201305.0,Widowed,201206.0,Widowed,201106.0,Widowed,201007.0,Widowed,200904.0,Widowed,200710.0
1278,1437591,,,eligible but not completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,64,55-64,60+,"Some college, no degree",Some college,"Other, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$15,000 to $19,999",Married,201407.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,No,Married,201407.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
1279,1438781,,phone,wave 5 completed,Retired,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,November,2013.0,November,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201502.0,still together at w5 or some follow-up w/o breakup,Yes,84,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$50,000 to $59,999",Married,200904.0,No,Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,0,3,Not working - retired,No,,,,,,,,,,,Married,200904.0,Married,200710.0
1280,1439225,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,28,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$85,000 to $99,999",Never married,201307.0,No,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201503.0,Never married,201307.0,Never married,201206.0,Never married,201107.0,Living with partner,201007.0,Never married,200904.0,Never married,200710.0
1281,1440573,,,,,not qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,62,55-64,60+,"Some college, no degree",Some college,Hispanic,Male,1,2,A building with 2 or more apartments,"$15,000 to $19,999",Divorced,201405.0,Yes,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,Divorced,201405.0,Divorced,201305.0,Divorced,201206.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Divorced,200710.0
1282,1441235,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,25-34,18-29,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"$35,000 to $39,999",Never married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Never married,201405.0,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201008.0,Never married,200905.0,Never married,200711.0
1283,1442415,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,45-54,45-59,Associate degree,Some college,"White, Non-Hispanic",Female,1,3,A building with 2 or more apartments,"$12,500 to $14,999",Never married,201305.0,No,Metro,Midwest,West-North Central,rented for cash,0,0,0,0,3,Not working - disabled,Yes,,,Never married,201305.0,Never married,201206.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
1284,1443503,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Female,0,2,A one-family house attached to one or more houses,"$40,000 to $49,999",Divorced,201404.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Divorced,201404.0,Divorced,201305.0,Divorced,201207.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Divorced,200711.0
1285,1444575,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$40,000 to $49,999",Never married,201305.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - disabled,Yes,,,Never married,201305.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
1286,1445491,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,no,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,55,55-64,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,201405.0,Yes,non-Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201209.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200805.0
1287,1446561,0.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,62,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$75,000 to $84,999",Married,201404.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
1288,1447506,,,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,5.0,2009.0,no civil union or DP prior to wave 5,February,2009.0,February,,,,,,,,,,,,,,,,,,,,,,,,,,No,56,55-64,45-59,"Some college, no degree",Some college,"Black, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,200904.0,No,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - disabled,No,,,,,,,,,,,Never married,200904.0,Living with partner,200710.0
1289,1449706,,,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,yes civil union or DP prior to wave 5,April,2011.0,April,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,75,75+,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Living with partner,201003.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,Living with partner,201003.0,Living with partner,200808.0
1290,1450553,,,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,5.0,2009.0,no civil union or DP prior to wave 5,February,2009.0,February,,,,,,,,,,,,,,,,,,,,,,,,,,No,61,55-64,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,200905.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Living with partner,200905.0,Divorced,200711.0
1291,1451501,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,56,55-64,45-59,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$175,000 or more",Married,201407.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,4,Working - as a paid employee,Yes,Married,201407.0,Married,201306.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
1292,1453663,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,72,65-74,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,201305.0,No,non-Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - disabled,No,,,Divorced,201305.0,Divorced,201207.0,Divorced,201106.0,Divorced,201007.0,Divorced,200904.0,Divorced,200712.0
1293,1454411,2.0,online,wave 5 completed,Active,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,February,no,,,,heterosexual or straight,,divorce,[name] wanted the [divorce/separation] more.,April,2014.0,,,,,,,,,,,,,broke up,201412.0,"broke up at wave 2,3,4, or 5",Yes,47,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$12,500 to $14,999",Married,201206.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,1,0,3,Not working - looking for work,Yes,,,,,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200802.0
1294,1455762,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$12,500 to $14,999",Widowed,200904.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,,,,,,,,,,,Widowed,200904.0,Widowed,200711.0
1295,1456556,13.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",gay,All or most of them,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,61,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$35,000 to $39,999",Married,201407.0,Yes,Metro,West,Pacific,Occupied without payment,0,0,0,0,2,Not working - disabled,Yes,Married,201407.0,Married,201305.0,Married,201207.0,Married,201106.0,Married,201007.0,Married,200904.0,Living with partner,200809.0
1296,1457395,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,0,4,A one-family house detached from any other house,"$35,000 to $39,999",Never married,200904.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,4,Not working - looking for work,No,,,,,,,,,,,Never married,200904.0,Never married,200711.0
1297,1458801,,,eligible but not completed,Retired,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,February,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,86,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,0,2,A one-family house detached from any other house,"$15,000 to $19,999",Married,200904.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
1298,1459321,,,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,February,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,38,35-44,30-44,"Some college, no degree",Some college,"2+ Races, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,200904.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200904.0,Married,200805.0
1299,1461341,,,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,February,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,39,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,5,A one-family house detached from any other house,"$60,000 to $74,999",Married,201009.0,No,non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,1,2,0,2,Working - as a paid employee,Yes,,,,,,,,,Married,201009.0,Married,201002.0,Married,200711.0
1300,1462605,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$100,000 to $124,999",Never married,200904.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Never married,200711.0
1301,1463856,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,91,75+,60+,Associate degree,Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$75,000 to $84,999",Widowed,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,Widowed,201405.0,Widowed,201309.0,Widowed,201209.0,Divorced,201108.0,Widowed,201007.0,Widowed,200904.0,Living with partner,200710.0
1302,1464431,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,48,45-54,45-59,Bachelors degree,Bachelor's degree or higher,Hispanic,Male,1,4,A one-family house detached from any other house,"$125,000 to $149,999",Married,201404.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,1,3,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
1303,1465371,,,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,43,35-44,30-44,Bachelors degree,Bachelor's degree or higher,Hispanic,Male,0,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,201207.0,No,Metro,Northeast,New England,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,,,Married,201207.0,Married,201107.0,Married,201007.0,Married,200912.0,Married,200710.0
1304,1466245,0.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,30,25-34,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$85,000 to $99,999",Married,201305.0,No,non-Metro,South,East-South Central,Owned or being bought by you or someone in household,0,1,0,0,2,Working - as a paid employee,Yes,Married,201411.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Never married,200710.0
1305,1467541,,,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,April,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,60,55-64,60+,7th or 8th grade,Less than high school,"White, Non-Hispanic",Female,1,2,A mobile home,"$10,000 to $12,499",Married,200904.0,No,Metro,West,Mountain,rented for cash,0,0,0,0,2,Not working - disabled,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
1306,1468606,5.0,online,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,April,,,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201503.0,still together at w5 or some follow-up w/o breakup,Yes,65,65-74,60+,Associate degree,Some college,"White, Non-Hispanic",Female,1,2,A one-family house attached to one or more houses,"$75,000 to $84,999",Living with partner,201405.0,Yes,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201405.0,Living with partner,201305.0,Living with partner,201206.0,Married,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
1307,1469225,1.0,online,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,28,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,0,1,A building with 2 or more apartments,"$100,000 to $124,999",Married,201406.0,Yes,Metro,South,West-South Central,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,Married,201406.0,Living with partner,201305.0,Never married,201206.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
1308,1470685,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$10,000 to $12,499",Never married,201207.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,,,,,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
1309,1471753,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,75+,60+,Associate degree,Some college,"Black, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$25,000 to $29,999",Divorced,200907.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,No,,,,,,,,,,,Divorced,200907.0,Divorced,200711.0
1310,1472491,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",bisexual,Only a few of them,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,55,55-64,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,4,Working - self-employed,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201008.0,Married,200905.0,Married,200711.0
1311,1473421,0.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,48,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,201404.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,1,1,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
1312,1474566,1.0,online,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,Once a month or less,"Yes, I expect [name] will only have sex with me",gay,All or most of them,,,,,yes,yes,"yes, married [name]",2013.0,September,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,62,55-64,60+,Professional or Doctorate degree,Bachelor's degree or higher,Hispanic,Male,1,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Living with partner,201305.0,Living with partner,201207.0,Living with partner,201106.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200805.0
1313,1475711,,,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,February,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,77,75+,60+,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,201107.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,4,Not working - retired,Yes,,,,,,,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
1314,1476271,,,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,April,2009.0,February,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes,33,25-34,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$50,000 to $59,999",Married,200905.0,No,Metro,West,Mountain,rented for cash,0,0,2,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200905.0,Married,200710.0
1315,1477205,2.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,26,25-34,18-29,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$100,000 to $124,999",Married,201404.0,Yes,Metro,South,South Atlantic,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201208.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
1316,1478566,4.0,online,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,,,Once or twice a week,"No, I expect [name] to have sex with other people besides me",gay,All or most of them,,,,,yes,yes,"yes, married [name]",2014.0,August,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes,62,55-64,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$150,000 to $174,999",Married,201405.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Living with partner,201305.0,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200809.0
1317,1479275,,,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes,32,25-34,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Male,0,6,A one-family house detached from any other house,"$35,000 to $39,999",Married,201404.0,Yes,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,1,0,1,0,4,Not working - looking for work,Yes,Married,201404.0,Never married,201305.0,Never married,201206.0,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
1318,1480621,1.0,online,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,March,yes,yes,Refused,Refused,heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes,68,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,201408.0,Yes,non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,1,2,Not working - retired,Yes,Married,201408.0,Married,201306.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200711.0
