,caseid_new,qflag_w1,married_w1,children_in_hh,age_difference,age_gap_bin,same_sex_couple,race_gap,religious_gap,edu_gap,edu_gap_bin,parental_approval,met_online,met_at_work,met_at_school,met_at_church,met_travel,met_social,met_party,met_f_and_f,met_as_neighbors,met_public_space,met_offline_dating,met_other,how_met_count,how_met_unique,how_long_relationship_w1,relationship_len,partner_deceased,relationship_quality_w1,qflag_w2,cflag_w2,relationship_status_w2,qflag_w3,cflag_w3,relationship_status_w3,qflag_w4,cflag_w4,relationship_status_w4,qflag_w5,cflag_w5,relationship_status_w5,qflag_w6,cflag_w6,relationship_status_w6
530,832551,partnered,married,0,2.0,0 to 3,different sex couple,1,1,4.5,5 to 6,approve,0,0,0,0,0,0,0,0,0,0,1,0,1,met_offline_dating,23.0,28.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
531,834531,partnered,married,0,5.0,4 to 5,different sex couple,0,1,2.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,37.0,42.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
532,836491,partnered,not married,0,7.0,6 to 10,different sex couple,0,1,2.0,0 to 2,,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,7.0,12.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
533,837215,partnered,not married,0,0.0,0 to 3,different sex couple,0,0,0.0,0 to 2,approve,0,0,1,0,0,1,0,1,0,0,0,0,3,met_at_school,0.75,1.75,0,excellent,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
534,838523,partnered,not married,0,7.0,6 to 10,same-sex couple,0,0,2.0,0 to 2,,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,2.5,7.5,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
535,839386,partnered,not married,5,5.0,4 to 5,different sex couple,0,1,0.0,0 to 2,approve,0,0,0,0,0,0,0,1,1,0,0,0,2,met_f_and_f,9.0,14.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
536,840205,partnered,not married,0,1.0,0 to 3,different sex couple,0,1,1.0,0 to 2,approve,1,0,0,0,0,0,0,1,0,0,0,0,2,met_online,0.45,0.45,0,excellent,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
537,841581,partnered,married,0,1.0,0 to 3,different sex couple,0,1,3.0,3 to 4,approve,0,0,1,0,0,0,0,1,0,0,0,0,2,met_at_school,41.0,46.0,0,excellent,qualified,no,,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
538,842195,partnered,not married,0,1.0,0 to 3,different sex couple,0,1,0.0,0 to 2,approve,1,0,1,0,0,0,0,0,0,0,0,0,2,met_online,1.5,6.5,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
539,843215,partnered,not married,0,3.0,0 to 3,different sex couple,0,1,0.0,0 to 2,approve,0,0,1,0,0,0,0,1,0,1,0,0,3,met_at_school,0.15,1.15,0,excellent,qualified,no,,qualified,yes,broke up,disqualified,,,disqualified,,,,,
540,846681,partnered,married,0,4.0,4 to 5,different sex couple,0,0,1.0,0 to 2,,0,1,0,0,0,1,1,0,0,0,1,0,4,met_at_work,24.0,29.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
541,847471,partnered,married,0,4.0,4 to 5,different sex couple,0,1,0.0,0 to 2,approve,0,0,0,0,0,0,0,1,1,0,0,0,2,met_f_and_f,18.0,23.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
542,849591,partnered,married,0,10.0,6 to 10,different sex couple,0,0,0.0,0 to 2,,0,0,0,0,0,0,0,1,0,0,0,0,1,met_f_and_f,10.0,15.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
543,850621,partnered,married,0,3.0,0 to 3,same-sex couple,1,1,3.0,3 to 4,,0,0,1,0,0,1,0,0,0,0,0,0,2,met_at_school,34.0,39.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
544,852291,partnered,married,2,4.0,4 to 5,different sex couple,0,0,1.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,5.0,10.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,yes,still together,qualified,no,,,,
545,854321,partnered,married,1,6.0,6 to 10,different sex couple,1,1,0.0,0 to 2,approve,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,2.5,7.5,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
546,855291,partnered,married,0,2.0,0 to 3,different sex couple,0,0,1.0,0 to 2,approve,0,0,0,0,0,0,0,1,0,1,0,0,2,met_f_and_f,13.0,18.0,0,good,qualified,yes,still together,qualified,no,,qualified,yes,still together,qualified,no,,,,
547,857421,partnered,married,0,7.0,6 to 10,different sex couple,1,1,2.0,0 to 2,approve,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,13.0,18.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
548,860495,partnered,not married,0,12.0,11 to 20,different sex couple,0,0,1.0,0 to 2,don't approve or don't know,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,25.0,30.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
549,863321,partnered,married,0,0.0,0 to 3,different sex couple,1,1,1.0,0 to 2,approve,0,0,0,0,0,0,0,1,0,1,0,0,2,met_f_and_f,14.0,19.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
550,864491,partnered,married,0,4.0,4 to 5,different sex couple,0,1,0.0,0 to 2,,0,0,0,0,0,0,0,1,0,1,0,0,2,met_f_and_f,30.0,35.0,0,good,qualified,yes,still together,qualified,no,,qualified,yes,still together,qualified,yes,still together,,,
551,865761,partnered,married,0,10.0,6 to 10,different sex couple,0,0,0.0,0 to 2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,58.0,62.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,yes,partner deceased,,,
552,866281,partnered,married,0,6.0,6 to 10,different sex couple,0,1,1.0,0 to 2,approve,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,9.0,14.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
553,867591,partnered,married,0,1.0,0 to 3,different sex couple,0,0,2.0,0 to 2,approve,0,0,0,0,0,0,0,1,0,1,0,0,2,met_f_and_f,42.0,47.0,0,excellent,qualified,no,,qualified,no,,qualified,yes,still together,qualified,no,,,,
554,870281,partnered,married,1,5.0,4 to 5,different sex couple,1,1,1.0,0 to 2,don't approve or don't know,0,0,1,0,0,0,0,1,0,0,0,0,2,met_at_school,13.0,13.0,0,very poor,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
555,871691,partnered,married,0,4.0,4 to 5,different sex couple,0,1,1.0,0 to 2,,0,0,0,0,0,0,1,1,0,0,0,0,2,met_party,53.0,58.0,0,fair,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,yes,still together
556,872215,partnered,not married,1,1.0,0 to 3,different sex couple,0,1,4.0,3 to 4,approve,0,0,1,0,0,0,0,0,1,0,0,0,2,met_at_school,1.5,1.5,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
557,873623,partnered,not married,0,2.0,0 to 3,different sex couple,0,1,0.0,0 to 2,,0,0,0,0,0,1,0,1,0,0,0,0,2,met_social,14.0,14.0,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
558,875485,partnered,not married,0,4.0,4 to 5,different sex couple,0,1,1.0,0 to 2,approve,0,1,0,0,0,0,0,0,1,0,0,0,2,met_at_work,4.0,4.0,0,fair,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
559,877525,partnered,not married,0,5.0,4 to 5,different sex couple,0,1,0.0,0 to 2,don't approve or don't know,0,1,0,0,0,0,0,1,0,0,0,0,2,met_at_work,2.5,3.5,0,excellent,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
560,878321,partnered,married,0,2.0,0 to 3,different sex couple,1,0,4.0,3 to 4,approve,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,4.0,9.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
561,879303,partnered,not married,1,7.0,6 to 10,different sex couple,0,0,1.0,0 to 2,don't approve or don't know,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,0.15,0.15,0,good,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
562,881325,partnered,not married,0,5.0,4 to 5,same-sex couple,0,1,0.0,0 to 2,don't approve or don't know,0,0,0,0,0,0,1,1,0,0,0,0,2,met_party,2.5,7.5,0,good,qualified,no,,qualified,no,,qualified,no,,qualified,no,,,,
563,883411,partnered,married,2,2.0,0 to 3,different sex couple,1,0,1.0,0 to 2,approve,0,0,0,1,0,0,0,1,0,0,0,0,2,met_at_church,23.0,28.0,0,excellent,qualified,no,,qualified,no,,qualified,no,,qualified,no,,,,
564,885511,partnered,married,0,1.0,0 to 3,different sex couple,0,0,1.0,0 to 2,approve,0,0,1,0,0,0,0,0,0,0,0,0,1,met_at_school,34.0,39.0,0,excellent,qualified,no,,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
565,886295,partnered,not married,2,0.0,0 to 3,different sex couple,0,1,2.0,0 to 2,don't approve or don't know,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,0.15,5.15,0,poor,qualified,no,,qualified,no,,qualified,no,,qualified,no,,,,
566,887421,partnered,married,1,1.0,0 to 3,different sex couple,0,1,1.0,0 to 2,approve,0,0,1,0,0,0,0,0,1,0,0,0,2,met_at_school,26.0,31.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
567,888391,partnered,married,0,0.0,0 to 3,different sex couple,0,0,3.0,3 to 4,approve,0,0,0,0,0,0,0,1,0,0,0,0,1,met_f_and_f,9.0,14.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
568,889295,partnered,not married,0,0.0,0 to 3,different sex couple,1,0,7.0,>6,approve,0,0,0,0,0,1,0,1,0,0,0,0,2,met_social,1.5,2.5,0,good,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
569,891551,partnered,married,0,4.0,4 to 5,different sex couple,0,1,0.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,34.0,39.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
570,892453,partnered,not married,2,10.0,6 to 10,different sex couple,0,1,4.0,3 to 4,don't approve or don't know,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,5.0,5.0,0,very poor,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
571,895411,partnered,married,1,3.0,0 to 3,different sex couple,0,1,1.0,0 to 2,,0,0,0,0,0,0,0,0,1,0,0,0,1,met_as_neighbors,18.0,23.0,0,fair,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
572,896413,partnered,not married,2,5.0,4 to 5,different sex couple,1,0,2.0,0 to 2,approve,0,1,0,0,0,0,0,1,0,0,0,0,2,met_at_work,21.0,23.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
573,898456,partnered,not married,0,0.0,0 to 3,same-sex couple,0,1,0.0,0 to 2,approve,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,12.0,14.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
574,899246,partnered,not married,0,9.0,6 to 10,different sex couple,0,0,1.0,0 to 2,don't approve or don't know,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,1.5,6.5,0,fair,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
575,900391,partnered,married,1,4.0,4 to 5,different sex couple,1,0,1.0,0 to 2,approve,0,0,0,0,0,0,1,1,1,0,0,0,3,met_party,12.0,17.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
576,901691,partnered,married,0,9.0,6 to 10,different sex couple,0,1,0.0,0 to 2,,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,39.0,44.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
577,902521,partnered,not married,0,11.0,11 to 20,different sex couple,1,0,0.0,0 to 2,,0,0,0,1,0,0,0,0,0,0,0,0,1,met_at_church,6.0,11.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
578,903206,partnered,not married,1,0.0,0 to 3,same-sex couple,0,0,0.0,0 to 2,don't approve or don't know,0,0,1,0,0,0,0,0,0,0,0,0,1,met_at_school,5.0,8.0,0,excellent,qualified,no,,qualified,yes,still together,qualified,no,,qualified,yes,broke up,,,
579,904751,partnered,married,0,7.0,6 to 10,different sex couple,0,0,4.0,3 to 4,,0,0,0,1,0,0,0,0,0,0,0,0,1,met_at_church,22.0,27.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
580,905491,partnered,married,0,3.0,0 to 3,different sex couple,0,0,1.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,19.0,24.0,0,excellent,qualified,no,,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
581,906593,partnered,not married,0,19.0,11 to 20,different sex couple,1,1,2.0,0 to 2,don't approve or don't know,0,0,0,0,0,0,1,1,1,0,0,0,3,met_party,0.45,0.45,0,fair,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
582,907301,partnered,married,0,2.0,0 to 3,different sex couple,1,1,0.0,0 to 2,approve,0,1,0,0,0,1,0,0,0,0,0,0,2,met_at_work,8.0,13.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
583,909792,partnered,not married,0,20.0,11 to 20,different sex couple,1,0,0.0,0 to 2,,0,0,0,0,0,0,1,1,0,0,0,0,2,met_party,10.0,10.0,1,excellent,qualified,yes,partner passed away,disqualified,,,disqualified,,,disqualified,,,,,
584,910521,partnered,married,0,1.0,0 to 3,different sex couple,0,0,4.0,3 to 4,don't approve or don't know,0,1,0,0,0,0,0,1,0,1,0,0,3,met_at_work,12.0,15.0,0,fair,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,,,
585,918235,partnered,not married,0,1.0,0 to 3,different sex couple,0,1,0.0,0 to 2,approve,0,0,1,0,0,0,0,1,0,0,0,0,2,met_at_school,0.15,1.15,0,good,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
586,919582,partnered,married,0,14.0,11 to 20,different sex couple,1,1,6.5,>6,,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,27.0,27.0,1,excellent,qualified,yes,partner passed away,disqualified,,,disqualified,,,disqualified,,,,,
587,922591,partnered,married,0,1.0,0 to 3,different sex couple,1,1,4.0,3 to 4,,0,1,0,0,0,0,0,0,0,1,0,1,3,met_at_work,24.0,29.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
588,923466,partnered,not married,0,1.0,0 to 3,same-sex couple,1,1,0.0,0 to 2,don't approve or don't know,0,0,0,0,0,0,0,1,0,0,0,0,1,met_f_and_f,16.0,21.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
589,924602,partnered,not married,0,3.0,0 to 3,different sex couple,0,1,1.0,0 to 2,,0,0,1,0,0,0,0,0,0,0,0,0,1,met_at_school,42.0,45.0,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,yes,broke up,,,
590,926551,partnered,married,0,7.0,6 to 10,different sex couple,0,1,1.0,0 to 2,approve,0,0,0,1,0,0,0,0,0,1,0,0,2,met_at_church,25.0,30.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,yes,still together,qualified,yes,still together,,,
591,928523,partnered,not married,0,3.0,0 to 3,different sex couple,0,1,0.0,0 to 2,don't approve or don't know,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,0.05,0.05,0,excellent,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
592,932566,partnered,not married,0,6.0,6 to 10,same-sex couple,0,1,1.0,0 to 2,approve,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,0.45,5.45,0,excellent,qualified,yes,still together,qualified,no,,qualified,yes,still together,qualified,yes,still together,,,
593,934261,partnered,married,1,9.0,6 to 10,different sex couple,0,1,1.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,5.0,10.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
594,935521,partnered,married,1,13.0,11 to 20,different sex couple,1,1,3.0,3 to 4,approve,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,6.0,11.0,0,good,qualified,no,,qualified,no,,qualified,no,,qualified,no,,,,
595,939441,partnered,married,0,1.0,0 to 3,different sex couple,0,0,4.0,3 to 4,don't approve or don't know,0,0,0,0,0,1,1,1,0,0,0,0,3,met_social,27.0,32.0,0,fair,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
596,942656,partnered,married,0,15.0,11 to 20,same-sex couple,0,0,0.0,0 to 2,,0,0,0,0,0,1,0,1,0,0,0,0,2,met_social,25.0,30.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
597,943441,partnered,married,2,6.0,6 to 10,different sex couple,0,1,0.0,0 to 2,approve,0,0,0,0,0,1,0,0,0,0,0,0,1,met_social,13.0,18.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
598,944531,partnered,married,1,3.0,0 to 3,different sex couple,0,0,5.0,5 to 6,approve,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,13.0,18.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
599,945665,partnered,not married,1,11.0,11 to 20,different sex couple,0,1,1.0,0 to 2,,1,0,0,0,0,1,0,0,0,1,0,0,3,met_online,26.0,27.0,0,excellent,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
600,946371,partnered,married,2,7.0,6 to 10,different sex couple,1,0,0.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,19.0,24.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
601,948531,partnered,married,0,7.0,6 to 10,different sex couple,0,1,0.0,0 to 2,,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,29.0,31.0,1,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,partner passed away,disqualified,,,,,
602,951271,partnered,married,0,4.0,4 to 5,different sex couple,1,0,0.0,0 to 2,approve,0,0,1,0,0,0,1,0,0,0,0,0,2,met_at_school,9.0,14.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
603,952371,partnered,married,0,8.0,6 to 10,different sex couple,0,1,4.0,3 to 4,don't approve or don't know,0,0,0,0,0,0,1,1,0,1,0,0,3,met_party,5.0,10.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
604,953681,partnered,married,0,8.0,6 to 10,different sex couple,0,1,3.0,3 to 4,,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,35.0,40.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
605,954702,partnered,not married,0,9.0,6 to 10,different sex couple,0,1,1.0,0 to 2,,0,0,0,0,0,0,0,0,1,0,0,0,1,met_as_neighbors,10.0,15.0,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
606,956591,partnered,married,0,2.0,0 to 3,different sex couple,0,1,1.0,0 to 2,approve,0,0,0,0,0,0,1,0,1,0,0,0,2,met_party,25.0,30.0,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
607,959381,partnered,married,0,5.0,4 to 5,different sex couple,0,0,5.0,5 to 6,approve,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,10.0,15.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
608,960593,partnered,married,0,30.0,>=20,different sex couple,1,1,1.0,0 to 2,approve,0,0,0,0,0,0,1,0,0,0,0,0,1,met_party,10.0,12.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
609,963573,partnered,not married,0,15.0,11 to 20,same-sex couple,0,0,0.0,0 to 2,approve,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,8.0,8.0,0,poor,qualified,yes,broke up,disqualified,,,disqualified,,,disqualified,,,,,
610,965575,partnered,not married,0,17.0,11 to 20,same-sex couple,0,1,1.0,0 to 2,don't approve or don't know,0,0,0,0,0,0,0,1,0,0,0,0,1,met_f_and_f,20.0,21.0,0,fair,qualified,yes,still together,qualified,yes,broke up,disqualified,,,disqualified,,,,,
611,966351,partnered,married,2,1.0,0 to 3,different sex couple,0,0,1.0,0 to 2,approve,0,0,0,1,0,0,0,0,0,0,0,0,1,met_at_church,21.0,26.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
612,967663,partnered,married,0,0.0,0 to 3,different sex couple,0,0,3.0,3 to 4,,0,0,1,0,0,0,1,1,0,0,0,0,3,met_at_school,48.0,50.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,disqualified,,,,,
613,971831,partnered,married,0,2.0,0 to 3,different sex couple,0,1,1.0,0 to 2,,0,1,0,0,0,0,0,0,0,1,0,0,2,met_at_work,55.0,60.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
614,972391,partnered,married,0,20.0,11 to 20,same-sex couple,0,1,0.0,0 to 2,approve,0,1,0,0,0,0,1,1,0,0,0,0,3,met_at_work,7.0,12.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
615,973581,partnered,married,0,20.0,11 to 20,same-sex couple,0,0,1.0,0 to 2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,17.0,22.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
616,974591,partnered,married,0,7.0,6 to 10,different sex couple,0,0,1.0,0 to 2,approve,0,0,0,0,0,0,1,0,0,0,0,0,1,met_party,25.0,30.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
617,976531,partnered,married,0,0.0,0 to 3,different sex couple,0,1,1.0,0 to 2,approve,0,0,1,0,0,0,0,1,0,0,0,0,2,met_at_school,38.0,43.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
618,977741,partnered,married,0,4.0,4 to 5,different sex couple,0,0,0.0,0 to 2,,0,1,0,0,0,0,0,1,1,0,0,0,3,met_at_work,54.0,59.0,0,fair,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
619,978651,partnered,married,0,4.0,4 to 5,different sex couple,0,0,0.0,0 to 2,,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,48.0,53.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
620,979711,partnered,married,0,5.0,4 to 5,different sex couple,0,0,9.5,>6,,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,49.0,54.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,no,,,,
621,982591,partnered,married,0,12.0,11 to 20,different sex couple,0,1,4.5,5 to 6,approve,0,0,0,0,1,1,1,0,0,0,0,0,3,met_travel,4.0,9.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,no,,qualified,yes,still together,,,
622,983661,partnered,married,0,10.0,6 to 10,different sex couple,0,0,1.0,0 to 2,approve,0,1,0,0,0,0,0,0,0,0,0,0,1,met_at_work,14.0,19.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
623,984451,partnered,married,0,7.0,6 to 10,different sex couple,0,0,1.0,0 to 2,,0,0,0,0,0,0,0,0,0,1,0,0,1,met_public_space,28.0,33.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
624,985571,partnered,married,0,1.0,0 to 3,different sex couple,0,0,0.0,0 to 2,approve,0,0,0,0,0,0,0,1,1,0,0,0,2,met_f_and_f,35.0,40.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,,,
625,986481,partnered,married,0,2.0,0 to 3,different sex couple,0,1,0.0,0 to 2,approve,0,0,0,0,0,0,0,1,0,1,0,0,2,met_f_and_f,33.0,38.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
626,987411,partnered,married,0,1.0,0 to 3,different sex couple,0,0,4.0,3 to 4,,0,0,0,0,0,0,1,1,0,0,0,0,2,met_party,19.0,24.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,no,,,,
627,989215,partnered,not married,2,2.0,0 to 3,different sex couple,0,0,1.0,0 to 2,approve,0,0,0,0,0,0,0,1,0,1,0,0,2,met_f_and_f,6.0,11.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
628,990636,partnered,not married,0,1.0,0 to 3,same-sex couple,0,1,0.0,0 to 2,,0,1,0,0,0,0,0,0,0,0,0,1,2,met_at_work,23.0,28.0,0,excellent,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
629,991466,partnered,not married,0,2.0,0 to 3,different sex couple,0,1,0.0,0 to 2,approve,1,0,0,0,0,0,0,0,0,0,0,0,1,met_online,6.0,11.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together
630,992341,partnered,married,0,2.0,0 to 3,different sex couple,0,1,0.0,0 to 2,approve,0,1,0,0,0,0,1,1,0,0,0,0,3,met_at_work,9.0,14.0,0,good,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
631,995656,partnered,married,0,5.0,4 to 5,same-sex couple,0,1,4.0,3 to 4,,0,0,0,0,0,1,0,1,0,0,0,0,2,met_social,14.0,17.0,0,good,qualified,yes,still together,qualified,yes,still together,qualified,yes,still together,qualified,yes,broke up,,,
632,998391,partnered,married,1,6.0,6 to 10,different sex couple,0,0,3.0,3 to 4,approve,0,1,0,0,1,0,0,0,0,0,0,0,2,met_at_work,9.0,14.0,0,excellent,qualified,yes,still together,qualified,no,,qualified,no,,qualified,no,,,,
