caseid_new,caseid_wave,qualified?,w5_complete,w5_status,w5x_qualified,w5x_marry,w5x_last,w5x_year,w5x_civil,w5x_month,w5x_civyear,w5_q1,w5_q2,w5_sex_frequency,w5_p_monogamy,w5_identity,w5_outness,w5_q3,w5_q4,w5_mbtiming_month,w5_mbtiming_year,w5_q5,w5_q6,w5_q7,w5_mar_year,w5_mar_month,w5_q8,w5_civ_year,w5_civ_month,w5_q9,w5_q10,w5_nonmbtiming_year,w5_nonmbtiming_month,w5_broke_up,w5_HCMST_interview_fin_yrmo,w2345_combo_breakup,responded_to_w234or5
300455,300455_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301251,301251_5,disqualified,,,not qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
301675,301675_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302475,302475_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303195,303195_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
304561,304561_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
305321,305321_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
306336,306336_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,May,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
307423,307423_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
307461,307461_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes
308205,308205_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309276,309276_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
310675,310675_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311251,311251_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,5.0,2009.0,no civil union or DP prior to wave 5,February,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,No
312373,312373_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
312623,312623_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313592,313592_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314341,314341_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,5.0,2009.0,no civil union or DP prior to wave 5,February,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,No
315205,315205_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316653,316653_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320631,320631_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201502.0,still together at w5 or some follow-up w/o breakup,Yes
321421,321421_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
322421,322421_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
323481,323481_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
326341,326341_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,yes,yes,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
327685,327685_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328341,328341_5,qualified,eligible but not completed,Do not call,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
329551,329551_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
330496,330496_5,qualified,eligible but not completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,yes civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
331691,331691_5,disqualified,,,not qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
332401,332401_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,May,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
333541,333541_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
334655,334655_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335326,335326_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
336205,336205_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
337581,337581_5,qualified,eligible but not completed,Retired,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,November,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
338546,338546_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
341391,341391_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
341605,341605_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342596,342596_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",lesbian,All or most of them,,,,,,,,,,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes
343421,343421_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
344396,344396_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,,,Once a month or less,"Yes, I expect [name] will only have sex with me",lesbian,All or most of them,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
344595,344595_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345315,345315_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345491,345491_5,disqualified,,,not qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
346371,346371_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,April,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
347716,347716_5,qualified,eligible but not completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
348456,348456_5,qualified,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,,,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,yes,yes,"no, did not marry [name]",,,,,,,,,,still together,201503.0,still together at w5 or some follow-up w/o breakup,Yes
349425,349425_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350771,350771_5,qualified,eligible but not completed,Do not call,qualified for wave 5,married,5.0,2009.0,no civil union or DP prior to wave 5,February,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,No
351405,351405_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
352336,352336_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
353285,353285_5,qualified,eligible but not completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
354331,354331_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
355771,355771_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
356755,356755_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358321,358321_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,yes,yes,Refused,Refused,Refused,,,,,,,,,,,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes
359511,359511_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201502.0,still together at w5 or some follow-up w/o breakup,Yes
360291,360291_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,May,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
360533,360533_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361593,361593_5,qualified,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",bisexual,Some of them,,,,,yes,no,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
362491,362491_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
363761,363761_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
364365,364365_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,3.0,2011.0,no civil union or DP prior to wave 5,April,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
365575,365575_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366663,366663_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367471,367471_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
368611,368611_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
370682,370682_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370713,370713_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
371551,371551_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,May,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
371555,371555_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372265,372265_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373513,373513_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374391,374391_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
375351,375351_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,5.0,2009.0,no civil union or DP prior to wave 5,February,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,No
375486,375486_5,qualified,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,Once a month or less,"Yes, I expect [name] will only have sex with me",bisexual,Some of them,,,,,yes,yes,"yes, married [name]",2013.0,August,,,,,,,,still together,201501.0,still together at w5 or some follow-up w/o breakup,Yes
376545,376545_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378221,378221_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201501.0,still together at w5 or some follow-up w/o breakup,Yes
379781,379781_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
380351,380351_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
381295,381295_5,disqualified,,,not qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
382683,382683_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383281,383281_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,yes,yes,3 to 6 times a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
383463,383463_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384435,384435_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385491,385491_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,no,Once a month or less,"No, I expect [name] to have sex with other people besides me",bisexual,None of them,,,,,,,,,,,,,,,,,broke up,201412.0,"broke up at wave 2,3,4, or 5",Yes
386546,386546_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
386583,386583_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387205,387205_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388731,388731_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
389541,389541_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
390431,390431_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
392315,392315_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
392341,392341_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,April,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
393591,393591_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
394765,394765_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396291,396291_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
399361,399361_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
401561,401561_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
404645,404645_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405782,405782_5,qualified,eligible but not completed,Retired,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,November,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
406672,406672_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
407802,407802_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408642,408642_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409345,409345_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412281,412281_5,disqualified,,,not qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2,3,4, or 5",Yes
413606,413606_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",lesbian,All or most of them,,,,,,,,,,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes
414721,414721_5,qualified,wave 5 completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
415812,415812_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416465,416465_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417833,417833_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419535,419535_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420285,420285_5,qualified,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,Once a day or more,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,yes,yes,"no, did not marry [name]",,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
421436,421436_5,qualified,eligible but not completed,Do not call,qualified for wave 5,married,3.0,2011.0,yes civil union or DP prior to wave 5,May,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
422485,422485_5,qualified,wave 5 completed,Active,qualified for wave 5,unmarried partners,1.0,2013.0,yes civil union or DP prior to wave 5,March,2013.0,,,Once or twice a week,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,yes,yes,"no, did not marry [name]",,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
423411,423411_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
425381,425381_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
426245,426245_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427821,427821_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
428395,428395_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429306,429306_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,2 to 3 times a month,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201411.0,still together at w5 or some follow-up w/o breakup,Yes
430623,430623_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431851,431851_5,qualified,eligible but not completed,Do not call,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,April,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
432411,432411_5,qualified,wave 5 completed,Active,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,yes,yes,Once a month or less,"Yes, I expect [name] will only have sex with me",heterosexual or straight,,,,,,,,,,,,,,,,,,still together,201412.0,still together at w5 or some follow-up w/o breakup,Yes
433481,433481_5,qualified,eligible but not completed,Do not call,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
434455,434455_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435535,435535_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436712,436712_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437831,437831_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,3.0,2011.0,no civil union or DP prior to wave 5,May,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
438615,438615_5,disqualified,,,not qualified for wave 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439271,439271_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,1.0,2013.0,no civil union or DP prior to wave 5,March,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
440811,440811_5,qualified,eligible but not completed,Withdrawn,qualified for wave 5,married,4.0,2010.0,no civil union or DP prior to wave 5,March,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,still together at w5 or some follow-up w/o breakup,Yes
