caseid_new,caseid_wave,qualified?,w3_broke_up,w3_xmarry,w3_xdeceased,w3_xpartnered,w3_xss,w3_xlast,w3_xyear,w3_xqualified,w3_status,w3_complete,w3_HCMST_interview_fin_yrmo,w3_days_elapsed,w3_xtype,w3_q1,w3_q2,w3_q3,w3_q4,w3_mbtiming_year,w3_mbtiming_month,w3_q5,w3_q6,w3_q7,w3_q8,w3_q9,w3_q10,w3_nonmbtiming_year,w3_nonmbtiming_month
600571,600571_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
601241,601241_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
602406,602406_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
604521,604521_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,Do Not Contact- subject withdrew and asked not to be contacted,no,,,,,,,,,,,,,,,,,
606225,606225_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
609701,609701_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,Do Not Contact- subject withdrew and asked not to be contacted,no,,,,,,,,,,,,,,,,,
610321,610321_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
611351,611351_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
612291,612291_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
613781,613781_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
615255,615255_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
617501,617501_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
619451,619451_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,810.0,heterosexual couple,yes,yes,,,,,,,,,,,,
620565,620565_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]","No, we have not gotten a domestic partnership or civil union agreement",,,,
622641,622641_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
623493,623493_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
624536,624536_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,yes,yes,,,,,,,,,,,,
626255,626255_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,,,,,,,yes,yes,"yes, married [xNameP]",,,,,
627533,627533_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
628841,628841_3,qualified,partner deceased,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",yes,201106.0,846.0,heterosexual couple,no,,"[xNameP] passed away, is deceased",,,,,,,,,,,
630534,630534_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
632473,632473_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
633631,633631_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
635411,635411_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201107.0,880.0,heterosexual couple,yes,yes,,,,,,,,,,,,
636631,636631_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201103.0,760.0,heterosexual couple,yes,yes,,,,,,,,,,,,
639211,639211_3,qualified,broke up,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,787.0,heterosexual couple,no,,divorce,[xNameP] wanted the [divorce/separation] more.,2011.0,April,,,,,,,,
640596,640596_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,yes,201104.0,776.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]","No, we have not gotten a domestic partnership or civil union agreement",,,,
645922,645922_3,disqualified,,,apparently deceased,Qualified for follow-up at wave3,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
646613,646613_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
648586,648586_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
650616,650616_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",yes,201106.0,846.0,heterosexual couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
651701,651701_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",yes,201106.0,849.0,heterosexual couple,yes,yes,,,,,,,,,,,,
652271,652271_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,809.0,heterosexual couple,yes,yes,,,,,,,,,,,,
653573,653573_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
654431,654431_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,781.0,heterosexual couple,yes,yes,,,,,,,,,,,,
655505,655505_3,qualified,broke up,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,no,,,,Other (please describe),[xNameP] wanted to break up more,2010.0,October
656225,656225_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,821.0,heterosexual couple,,,,,,,yes,yes,"yes, married [xNameP]",,,,,
657761,657761_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
658356,658356_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,780.0,heterosexual couple,yes,yes,,,,,,,,,,,,
660391,660391_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,yes,201104.0,783.0,heterosexual couple,yes,yes,,,,,,,,,,,,
661466,661466_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
663872,663872_3,disqualified,,,apparently deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
664501,664501_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
665256,665256_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
666686,666686_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,802.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]","No, we have not gotten a domestic partnership or civil union agreement",,,,
667321,667321_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
668501,668501_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",yes,201106.0,847.0,heterosexual couple,yes,yes,,,,,,,,,,,,
669511,669511_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",yes,201106.0,846.0,heterosexual couple,yes,yes,,,,,,,,,,,,
670721,670721_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
671481,671481_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,777.0,heterosexual couple,yes,yes,,,,,,,,,,,,
672681,672681_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
673371,673371_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,814.0,heterosexual couple,yes,yes,,,,,,,,,,,,
675671,675671_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,797.0,heterosexual couple,yes,yes,,,,,,,,,,,,
677226,677226_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201108.0,916.0,heterosexual couple,yes,yes,,,,,,,,,,,,
680225,680225_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,814.0,heterosexual couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
686266,686266_3,qualified,broke up,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201103.0,761.0,heterosexual couple,,,,,,,no,,,,We broke up,We both equally wanted to break up,2010.0,June
689556,689556_3,qualified,,,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",no,,,,,,,,,,,,,,,,,
690195,690195_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
692321,692321_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,yes,201105.0,804.0,heterosexual couple,yes,yes,,,,,,,,,,,,
693365,693365_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
696413,696413_3,qualified,broke up,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,no,,divorce,[xNameP] wanted the [divorce/separation] more.,2011.0,March,,,,,,,,
697396,697396_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,,,,,,,yes,yes,"yes, married [xNameP]",,,,,
698271,698271_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
700396,700396_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,788.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]","No, we have not gotten a domestic partnership or civil union agreement",,,,
701496,701496_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201103.0,761.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]","No, we have not gotten a domestic partnership or civil union agreement",,,,
703215,703215_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,Do Not Contact- subject withdrew and asked not to be contacted,no,,,,,,,,,,,,,,,,,
704331,704331_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
706306,706306_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
709205,709205_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
711676,711676_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
712403,712403_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
714533,714533_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,776.0,heterosexual couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
715631,715631_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,"subject retired from KN panel, KN decision",no,,,,,,,,,,,,,,,,,
717491,717491_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,no,,,,,,,,,,,,,,,,,
718255,718255_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201108.0,903.0,heterosexual couple,yes,yes,,,,,,,,,,,,
719606,719606_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
721305,721305_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",no,,,,,,,,,,,,,,,,,
722225,722225_3,qualified,broke up,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,788.0,same sex couple,,,,,,,no,,,,We broke up,We both equally wanted to break up,2011.0,March
723325,723325_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,yes,201104.0,776.0,heterosexual couple,,,,,,,yes,no,"no, did not marry [xNameP]",,,,,
724301,724301_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
725421,725421_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201103.0,760.0,heterosexual couple,yes,yes,,,,,,,,,,,,
726441,726441_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
727261,727261_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
729486,729486_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,Do Not Contact- subject withdrew and asked not to be contacted,no,,,,,,,,,,,,,,,,,
731431,731431_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,no,,,,,,,,,,,,,,,,,
733315,733315_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,,,,,,,yes,no,"no, did not marry [xNameP]",,,,,
734541,734541_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",yes,201106.0,847.0,heterosexual couple,yes,yes,,,,,,,,,,,,
735751,735751_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
737741,737741_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
738561,738561_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,Do Not Contact- subject withdrew and asked not to be contacted,no,,,,,,,,,,,,,,,,,
740205,740205_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
741351,741351_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,777.0,heterosexual couple,yes,yes,,,,,,,,,,,,
742246,742246_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201106.0,843.0,heterosexual couple,yes,yes,,,,,,,,,,,,
744391,744391_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",no,,,,,,,,,,,,,,,,,
745435,745435_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,no,,,,,,,,,,,,,,,,,
746481,746481_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,Do Not Contact- subject withdrew and asked not to be contacted,no,,,,,,,,,,,,,,,,,
747281,747281_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,subject withdrew from KN panel,yes,201104.0,797.0,heterosexual couple,yes,yes,,,,,,,,,,,,
748371,748371_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,782.0,heterosexual couple,yes,yes,,,,,,,,,,,,
749566,749566_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]","No, we have not gotten a domestic partnership or civil union agreement",,,,
750561,750561_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,775.0,heterosexual couple,yes,yes,,,,,,,,,,,,
752271,752271_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,yes,201104.0,798.0,heterosexual couple,yes,no,,,,,,,,,,,,
754281,754281_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,786.0,heterosexual couple,yes,yes,,,,,,,,,,,,
755501,755501_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,805.0,heterosexual couple,yes,yes,,,,,,,,,,,,
756296,756296_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
758456,758456_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]","No, we have not gotten a domestic partnership or civil union agreement",,,,
761391,761391_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
762205,762205_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,no,,,,,,,,,,,,,,,,,
767351,767351_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
768371,768371_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,783.0,heterosexual couple,yes,yes,,,,,,,,,,,,
771351,771351_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,yes,201104.0,798.0,heterosexual couple,yes,yes,,,,,,,,,,,,
772291,772291_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
773351,773351_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
774401,774401_3,qualified,broke up,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,792.0,heterosexual couple,no,,divorce,I wanted the [divorce/separation] more.,2010.0,August,,,,,,,,
775703,775703_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,810.0,heterosexual couple,,,,,,,yes,no,"no, did not marry [xNameP]",,,,,
777281,777281_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201105.0,804.0,heterosexual couple,yes,yes,,,,,,,,,,,,
778421,778421_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,783.0,heterosexual couple,yes,yes,,,,,,,,,,,,
780753,780753_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,yes,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]","No, we have not gotten a domestic partnership or civil union agreement",,,,
781615,781615_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,same sex couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
782861,782861_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,"subject retired from KN panel, KN decision",yes,201106.0,846.0,heterosexual couple,yes,yes,,,,,,,,,,,,
784651,784651_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
786215,786215_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,yes,201104.0,798.0,heterosexual couple,,,,,,,yes,no,"no, did not marry [xNameP]",,,,,
787561,787561_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,yes,yes,,,,,,,,,,,,
788331,788331_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,781.0,heterosexual couple,yes,yes,,,,,,,,,,,,
789391,789391_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,yes,201104.0,776.0,heterosexual couple,yes,yes,,,,,,,,,,,,
790595,790595_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
791225,791225_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
792573,792573_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,"subject retired from KN panel, KN decision",no,,,,,,,,,,,,,,,,,
793436,793436_3,qualified,,,not deceased,Qualified for follow-up at wave3,,2 years ago,2009.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
794276,794276_3,qualified,still together,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,,,,,,,yes,yes,"no, did not marry [xNameP]",,,,,
797421,797421_3,disqualified,,,not deceased,unqualified bc broke up at wave 2,,,,unqualified for wave 3,,,,,,,,,,,,,,,,,,,
798543,798543_3,qualified,partner deceased,Partnered,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201104.0,774.0,heterosexual couple,,,,,,,no,,,,"[xNameP] passed away, is deceased",,,
799451,799451_3,qualified,still together,Married,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,active member of KN panel,yes,201103.0,761.0,heterosexual couple,yes,yes,,,,,,,,,,,,
800531,800531_3,qualified,,,not deceased,Qualified for follow-up at wave3,no,1 year ago,2010.0,qualified for wave 3,subject withdrew from KN panel,no,,,,,,,,,,,,,,,,,
