caseid_new,pp5_ppage,pp5_ppagecat,pp5_ppagect4,pp5_ppeduc,pp5_ppeducat,pp5_ppethm,pp5_ppgender,pp5_pphhhead,pp5_pphhsize,pp5_pphouse,pp5_ppincimp,pp5_ppmarit,pp5_ppcmdate_yrmo,pp5_newer,pp5_ppmsacat,pp5_ppreg4,pp5_ppreg9,pp5_pprent,pp5_ppt01,pp5_ppt25,pp5_ppt612,pp5_ppt1317,pp5_ppt18ov,pp5_ppwork,pp5_ppnet,ppmarit_2014,ppcmarit_2014_yrmo,ppmarit_2013,ppcmarit_2013_yrmo,ppmarit_2012,ppcmarit_2012_yrmo,ppmarit_2011,ppcmarit_2011_yrmo,ppmarit_2010,ppcmarit_2010_yrmo,ppmarit_2009,ppcmarit_2009_yrmo,ppmarit_2007,ppcmarit_2007_yrmo
1271456,51,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$40,000 to $49,999",Living with partner,200905.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,,,,,,,,,,,Living with partner,200905.0,Living with partner,200710.0
1272295,34,25-34,30-44,Associate degree,Some college,Hispanic,Female,0,4,A one-family house attached to one or more houses,"$5,000 to $7,499",Never married,200904.0,No,Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,2,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Never married,200710.0
1273236,29,25-34,18-29,Associate degree,Some college,"White, Non-Hispanic",Female,1,2,A building with 2 or more apartments,"$50,000 to $59,999",Married,201206.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,,,Married,201206.0,Married,201106.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200710.0
1274576,62,55-64,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$100,000 to $124,999",Living with partner,200904.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Living with partner,200904.0,Living with partner,200711.0
1275585,64,55-64,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,1,A one-family house attached to one or more houses,"$25,000 to $29,999",Never married,201404.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - other,No,Never married,201404.0,Never married,201305.0,Never married,201206.0,Widowed,201106.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
1277421,48,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,7,A one-family house detached from any other house,"$75,000 to $84,999",Married,200906.0,No,non-Metro,West,Mountain,Owned or being bought by you or someone in household,0,0,0,2,5,Working - as a paid employee,Yes,,,,,,,,,,,Married,200906.0,Married,200806.0
1278541,60,55-64,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$125,000 to $149,999",Married,201405.0,Yes,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200905.0,Married,200805.0
1279296,35,35-44,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"Less than $5,000",Never married,201207.0,No,non-Metro,Northeast,New England,rented for cash,0,0,0,0,2,Not working - other,Yes,,,,,Never married,201207.0,,,,,Living with partner,200907.0,Living with partner,200710.0
1280305,36,35-44,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,201405.0,Yes,Metro,South,West-South Central,rented for cash,1,0,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201306.0,Married,201207.0,Married,201107.0,Married,201007.0,Never married,200904.0,Never married,200710.0
1281395,45,45-54,45-59,Masters degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$85,000 to $99,999",Never married,200904.0,No,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Never married,200801.0
1282355,41,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$30,000 to $34,999",Living with partner,201404.0,Yes,Metro,West,Mountain,Owned or being bought by you or someone in household,0,1,0,0,2,Not working - other,Yes,Living with partner,201404.0,Living with partner,201306.0,Living with partner,201206.0,Living with partner,201106.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
1283621,68,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$20,000 to $24,999",Married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200803.0
1284701,76,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,201007.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,No,,,,,,,,,Married,201007.0,Married,200904.0,Married,200711.0
1285703,76,75+,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A building with 2 or more apartments,"$25,000 to $29,999",Divorced,201406.0,Yes,Metro,Northeast,New England,Occupied without payment,0,0,0,0,1,Not working - retired,Yes,Divorced,201406.0,Divorced,201311.0,Divorced,201207.0,Divorced,201108.0,Divorced,201009.0,Divorced,200904.0,Divorced,200711.0
1286415,47,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$175,000 or more",Living with partner,201405.0,Yes,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - self-employed,Yes,Living with partner,201405.0,Living with partner,201309.0,,,Living with partner,201108.0,Living with partner,201008.0,Living with partner,200905.0,Never married,200804.0
1287613,66,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$20,000 to $24,999",Divorced,200904.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,0,1,Not working - looking for work,Yes,,,,,,,,,,,Divorced,200904.0,Divorced,200711.0
1289291,35,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,0,10,A one-family house detached from any other house,"$60,000 to $74,999",Married,201405.0,Yes,non-Metro,South,West-South Central,Owned or being bought by you or someone in household,1,2,4,1,2,Not working - other,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
1290401,46,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$175,000 or more",Married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,1,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200712.0
1291771,82,75+,60+,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Male,1,1,A one-family house attached to one or more houses,"$25,000 to $29,999",Married,200904.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
1293683,74,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$30,000 to $34,999",Divorced,201007.0,No,non-Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,,,,,,,,,Divorced,201007.0,Divorced,200904.0,Divorced,200711.0
1294631,68,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,200908.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,4,Not working - disabled,Yes,,,,,,,,,,,Married,200908.0,Married,200710.0
1296782,84,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$30,000 to $34,999",Widowed,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,Widowed,201405.0,Widowed,201305.0,Widowed,201206.0,Widowed,201106.0,Widowed,201007.0,Widowed,200904.0,Widowed,200710.0
1297901,96,75+,60+,11th grade,Less than high school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,201107.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
1298581,64,55-64,60+,9th grade,Less than high school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$25,000 to $29,999",Widowed,201305.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,Widowed,201305.0,Widowed,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
1299356,41,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Female,1,3,A one-family house detached from any other house,"$30,000 to $34,999",Separated,201406.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,2,0,1,Working - as a paid employee,Yes,Separated,201406.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Living with partner,200904.0,Living with partner,200802.0
1300663,72,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,1,A one-family house attached to one or more houses,"$50,000 to $59,999",Widowed,201304.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,Widowed,201304.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Divorced,200712.0
1301626,68,65-74,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$75,000 to $84,999",Married,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Living with partner,201305.0,Living with partner,201209.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
1302415,46,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,4,A one-family house detached from any other house,"$35,000 to $39,999",Separated,201308.0,No,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,1,0,0,3,Working - as a paid employee,Yes,,,Separated,201308.0,Living with partner,201211.0,Living with partner,201107.0,Living with partner,201007.0,Never married,200904.0,Never married,200711.0
1303571,62,55-64,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,200904.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,No,,,,,,,,,,,Married,200904.0,Married,200711.0
1305741,80,75+,60+,7th or 8th grade,Less than high school,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,201002.0,No,non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,Married,201002.0,Married,200711.0
1306381,44,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$50,000 to $59,999",Married,201404.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,2,0,2,Working - as a paid employee,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200710.0
1307306,36,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,0,4,A one-family house detached from any other house,"$15,000 to $19,999",Living with partner,200904.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,2,0,2,Not working - looking for work,Yes,,,,,,,,,,,Living with partner,200904.0,Living with partner,200804.0
1308821,88,75+,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A mobile home,"Less than $5,000",Married,200904.0,No,non-Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,No,,,,,,,,,,,Married,200904.0,Married,200711.0
1309513,57,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$175,000 or more",Divorced,201405.0,Yes,Metro,South,West-South Central,rented for cash,0,0,0,0,2,Working - self-employed,Yes,Divorced,201405.0,Divorced,201305.0,Divorced,201206.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Divorced,200711.0
1310523,58,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$60,000 to $74,999",Divorced,201406.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,Divorced,201406.0,Living with partner,201305.0,Living with partner,201206.0,Living with partner,201108.0,Living with partner,201007.0,Divorced,200904.0,Divorced,200710.0
1311822,88,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$7,500 to $9,999",Widowed,201406.0,Yes,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,Widowed,201406.0,Widowed,201310.0,Widowed,201207.0,Widowed,201106.0,Widowed,201007.0,Widowed,200904.0,Widowed,200710.0
1312301,36,35-44,30-44,7th or 8th grade,Less than high school,"White, Non-Hispanic",Male,0,10,A one-family house detached from any other house,"$30,000 to $34,999",Married,201011.0,No,non-Metro,West,Mountain,Occupied without payment,0,1,5,2,2,Working - as a paid employee,Yes,,,,,,,,,Married,201011.0,Married,200904.0,Married,200808.0
1313431,49,45-54,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$50,000 to $59,999",Married,201007.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,1,3,Working - as a paid employee,Yes,,,,,,,,,Married,201007.0,Married,200904.0,Married,200710.0
1314201,26,25-34,18-29,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,200905.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,,,,,,,,,,,Married,200905.0,Married,200710.0
1315536,59,55-64,45-59,Associate degree,Some college,Hispanic,Male,1,1,A one-family house detached from any other house,"$30,000 to $34,999",Never married,201404.0,Yes,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - disabled,Yes,Never married,201404.0,Widowed,201306.0,Living with partner,201206.0,Living with partner,201106.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
1316391,45,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,201404.0,Yes,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,1,0,2,Not working - other,Yes,Married,201404.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
1317503,56,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,0,1,A building with 2 or more apartments,"$7,500 to $9,999",Divorced,201404.0,Yes,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,0,0,1,Not working - disabled,Yes,Divorced,201404.0,Divorced,201305.0,Divorced,201206.0,Divorced,201107.0,Divorced,201007.0,Divorced,200905.0,Divorced,200711.0
1318833,89,75+,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$5,000 to $7,499",Divorced,201406.0,Yes,non-Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,Yes,Divorced,201406.0,Divorced,201306.0,Divorced,201208.0,Divorced,201107.0,Divorced,201004.0,Divorced,200905.0,Divorced,200711.0
1319523,58,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$40,000 to $49,999",Divorced,200904.0,No,Metro,West,Pacific,rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Divorced,200904.0,Divorced,200710.0
1320215,27,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$125,000 to $149,999",Never married,200904.0,No,Metro,South,East-South Central,Owned or being bought by you or someone in household,0,0,0,0,4,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Never married,200711.0
1322205,26,25-34,18-29,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,0,5,A one-family house detached from any other house,"$125,000 to $149,999",Never married,201106.0,No,Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,5,Working - as a paid employee,Yes,,,,,,,Never married,201106.0,Never married,201007.0,Never married,200904.0,Never married,200710.0
1323596,65,65-74,60+,Professional or Doctorate degree,Bachelor's degree or higher,Hispanic,Male,0,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,201405.0,Yes,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,1,2,Working - self-employed,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201106.0,Married,201007.0,Married,200904.0,Living with partner,200710.0
1325391,44,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,200904.0,No,Metro,South,West-South Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - other,Yes,,,,,,,,,,,Married,200904.0,Married,200803.0
1326451,51,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,201107.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,Married,201107.0,Married,201007.0,Married,200904.0,Married,200710.0
1327693,75,75+,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,201406.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Living with partner,201406.0,Living with partner,201305.0,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Divorced,200904.0,Divorced,200712.0
1328713,54,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,6,A one-family house detached from any other house,"$175,000 or more",Married,201404.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,2,4,Working - self-employed,Yes,Married,201404.0,Married,201305.0,Married,201207.0,Married,201108.0,Married,201007.0,Married,200904.0,Divorced,200806.0
1329235,29,25-34,18-29,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,1,3,A one-family house detached from any other house,"$100,000 to $124,999",Married,201405.0,Yes,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,1,0,0,2,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201207.0,Married,201107.0,Married,201007.0,Married,200912.0,Never married,200710.0
1330251,31,25-34,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,0,4,A one-family house detached from any other house,"$125,000 to $149,999",Married,201305.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,4,Not working - other,Yes,,,Married,201305.0,Married,201208.0,Married,201107.0,Married,201008.0,Married,200904.0,Married,200711.0
1331645,70,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$50,000 to $59,999",Never married,201307.0,No,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,Never married,201307.0,Never married,201207.0,Never married,201107.0,Never married,201007.0,Never married,200904.0,Never married,200711.0
1332405,45,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$50,000 to $59,999",Married,201207.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,Married,201207.0,Married,201107.0,Living with partner,201007.0,Living with partner,200904.0,Never married,200710.0
1333711,77,75+,60+,10th grade,Less than high school,"Black, Non-Hispanic",Male,1,2,A mobile home,"$35,000 to $39,999",Married,200904.0,No,non-Metro,South,South Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,,,,,,,,,,,Married,200904.0,Married,200710.0
1334261,32,25-34,30-44,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,201404.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Working - as a paid employee,Yes,Living with partner,201404.0,Divorced,201305.0,Divorced,201206.0,Separated,201107.0,Married,201007.0,Married,200905.0,Married,200811.0
1335363,41,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house attached to one or more houses,"$60,000 to $74,999",Divorced,201404.0,Yes,Metro,West,Pacific,rented for cash,0,0,0,1,1,Working - as a paid employee,Yes,Divorced,201404.0,Divorced,201305.0,Divorced,201206.0,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Divorced,200807.0
1337321,38,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,0,3,A one-family house attached to one or more houses,"$50,000 to $59,999",Divorced,201107.0,No,Metro,Northeast,New England,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,,,,,,,Divorced,201107.0,Divorced,201007.0,Divorced,200904.0,Married,200710.0
1338632,69,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,5,A one-family house detached from any other house,"$25,000 to $29,999",Widowed,200904.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,5,Not working - retired,Yes,,,,,,,,,,,Widowed,200904.0,Widowed,200710.0
1340556,61,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A one-family house detached from any other house,"$40,000 to $49,999",Living with partner,201405.0,Yes,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,No,Living with partner,201405.0,Living with partner,201305.0,Living with partner,201208.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200905.0,Living with partner,200806.0
1341511,61,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,3,Working - as a paid employee,Yes,Married,201405.0,Married,201305.0,Married,201206.0,Married,201107.0,Married,201007.0,Married,200904.0,Married,200712.0
1343603,65,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$175,000 or more",Divorced,201005.0,No,Metro,West,Pacific,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,Divorced,201005.0,Divorced,200904.0,Divorced,200710.0
1345356,40,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,1,4,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,201207.0,No,Metro,West,Mountain,rented for cash,0,0,0,2,2,Working - as a paid employee,Yes,,,,,Living with partner,201207.0,Living with partner,201107.0,Living with partner,201007.0,Living with partner,200904.0,Living with partner,200710.0
1346465,52,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$35,000 to $39,999",Never married,200904.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Working - as a paid employee,Yes,,,,,,,,,,,Never married,200904.0,Never married,200710.0
1347703,76,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,1,1,A one-family house detached from any other house,"$20,000 to $24,999",Divorced,201106.0,No,Metro,Midwest,West-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,,,,,,,Divorced,201106.0,Divorced,201007.0,Divorced,200904.0,Divorced,200711.0
1348345,40,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"Other, Non-Hispanic",Female,1,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,201206.0,No,Metro,South,South Atlantic,rented for cash,0,0,0,0,2,Not working - looking for work,Yes,,,,,Married,201206.0,Married,201108.0,Never married,201007.0,Never married,200906.0,Never married,200711.0
1349311,37,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,4,A one-family house detached from any other house,"$175,000 or more",Married,201305.0,No,Metro,South,West-South Central,Owned or being bought by you or someone in household,1,1,0,0,2,Working - as a paid employee,Yes,,,Married,201305.0,Married,201207.0,Married,201106.0,Married,201007.0,Married,200904.0,Married,200711.0
1350732,79,75+,60+,"Some college, no degree",Some college,"Black, Non-Hispanic",Female,1,1,A one-family house detached from any other house,"$12,500 to $14,999",Widowed,200904.0,No,Metro,Midwest,East-North Central,Owned or being bought by you or someone in household,0,0,0,0,1,Not working - retired,No,,,,,,,,,,,Widowed,200904.0,Widowed,200710.0
1351572,63,55-64,60+,11th grade,Less than high school,"White, Non-Hispanic",Female,0,1,A one-family house detached from any other house,"$7,500 to $9,999",Widowed,201405.0,Yes,Metro,West,Pacific,Occupied without payment,0,0,0,0,1,Not working - retired,Yes,Widowed,201405.0,Widowed,201304.0,Widowed,201207.0,Widowed,201107.0,Widowed,201007.0,Widowed,200904.0,Widowed,200802.0
1352771,83,75+,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,1,2,A building with 2 or more apartments,"$60,000 to $74,999",Married,201405.0,Yes,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in household,0,0,0,0,2,Not working - retired,Yes,Married,201405.0,Married,201306.0,Married,201207.0,Married,201108.0,Married,201008.0,Married,200904.0,Married,200712.0
1353823,87,75+,60+,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,1,1,A building with 2 or more apartments,"$20,000 to $24,999",Divorced,200904.0,No,Metro,Northeast,Mid-Atlantic,rented for cash,0,0,0,0,1,Not working - retired,Yes,,,,,,,,,,,Divorced,200904.0,Divorced,200711.0
