pp3_pphhhead,pp3_pphhsize,pp3_pphouse,pp3_ppincimp,pp3_ppmarit,pp3_ppmsacat,pp3_pprent,pp3_ppreg4,pp3_ppreg9,interstate_mover_pp1_pp2,interstate_mover_pp2_pp3,interstate_mover_pp1_pp3,pp3_ppt01,pp3_ppt1317,pp3_ppt18ov,pp3_ppt25,pp3_ppt612,pp3_ppwork,pp3_ppnet,pp3_ppcmdate_yrmo,pp3_ppeduc,pp3_ppeducat,pp3_respondent_yrsed,pp3_ppethm,pp3_newer
Yes,1.0,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Owned or being bought by you or someone in your household,South,East-South Central,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Working - self-employed,No,201107.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,4.0,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,1.0,2.0,0.0,1.0,Working - as a paid employee,Yes,201107.0,10th grade,Less than high school,10.0,"Black, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,Owned or being bought by you or someone in your household,Northeast,New England,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - looking for work,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$35,000 to $39,999",Married,Non-Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - other,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,1.0,A mobile home,"$40,000 to $49,999",Never married,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Not working - retired,Yes,201007.0,Associate degree,Some college,14.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,2.0,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201107.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$40,000 to $49,999",Living with partner,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - self-employed,Yes,201007.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Non-Metro,Owned or being bought by you or someone in your household,South,West-South Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,1.0,A building with 2 or more apartments,"$35,000 to $39,999",Widowed,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,4.0,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,1.0,3.0,0.0,0.0,Working - as a paid employee,Yes,201008.0,"Some college, no degree",Some college,13.0,Hispanic,"Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,2.0,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,Associate degree,Some college,14.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,4.0,A mobile home,"$75,000 to $84,999",Married,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,1.0,1.0,Working - as a paid employee,Yes,201106.0,Associate degree,Some college,14.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,3.0,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,1.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201108.0,10th grade,Less than high school,10.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,No,201007.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
No,4.0,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,4.0,0.0,0.0,Working - as a paid employee,Yes,201106.0,Associate degree,Some college,14.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,4.0,A one-family house attached to one or more houses,"$40,000 to $49,999",Married,Metro,Owned or being bought by you or someone in your household,West,Mountain,stayer,stayer,stayer,1.0,0.0,2.0,0.0,1.0,Working - as a paid employee,Yes,201106.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,2.0,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
No,3.0,A building with 2 or more apartments,"$20,000 to $24,999",Divorced,Metro,Occupied without payment of cash rent,Northeast,New England,stayer,stayer,stayer,0.0,0.0,3.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,1.0,A building with 2 or more apartments,"$10,000 to $12,499",Never married,Metro,Rented for cash,Midwest,West-North Central,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Not working - retired,No,201106.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,4.0,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,2.0,Working - as a paid employee,Yes,201106.0,Bachelors degree,Bachelor's degree or higher,16.0,"Black, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,2.0,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,Owned or being bought by you or someone in your household,West,Pacific,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201007.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
No,1.0,A building with 2 or more apartments,"$60,000 to $74,999",Divorced,Metro,Rented for cash,Northeast,New England,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Working - as a paid employee,No,201107.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,mover,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,3.0,A one-family house detached from any other house,"$50,000 to $59,999",Married,Non-Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,3.0,0.0,0.0,Not working - disabled,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,3.0,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,3.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,12th grade NO DIPLOMA,Less than high school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Owned or being bought by you or someone in your household,South,East-South Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A building with 2 or more apartments,"$50,000 to $59,999",Never married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201106.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"Black, Non-Hispanic","Yes, pp3 data is newer and available"
No,2.0,A one-family house detached from any other house,"$75,000 to $84,999",Married,Non-Metro,Owned or being bought by you or someone in your household,South,East-South Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201106.0,12th grade NO DIPLOMA,Less than high school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,5.0,A one-family house attached to one or more houses,"$40,000 to $49,999",Separated,Metro,Rented for cash,Midwest,East-North Central,stayer,stayer,stayer,0.0,3.0,2.0,0.0,0.0,Not working - other,Yes,201106.0,11th grade,Less than high school,11.0,"Black, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$125,000 to $149,999",Living with partner,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - self-employed,Yes,201107.0,Masters degree,Bachelor's degree or higher,17.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Owned or being bought by you or someone in your household,Northeast,New England,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,3.0,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,mover,mover,1.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Owned or being bought by you or someone in your household,South,West-South Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201106.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,2.0,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201007.0,Associate degree,Some college,14.0,Hispanic,"Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,4.0,A mobile home,"$25,000 to $29,999",Living with partner,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,1.0,0.0,3.0,0.0,0.0,Not working - disabled,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201005.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,mover,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,3.0,A building with 2 or more apartments,"$125,000 to $149,999",Living with partner,Metro,Rented for cash,South,South Atlantic,stayer,mover,mover,0.0,1.0,2.0,0.0,0.0,Working - self-employed,Yes,201107.0,Masters degree,Bachelor's degree or higher,17.0,Hispanic,"Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,1.0,A one-family house detached from any other house,"$30,000 to $34,999",Widowed,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Not working - retired,Yes,201008.0,10th grade,Less than high school,10.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
No,5.0,A one-family house detached from any other house,"$125,000 to $149,999",Never married,Metro,Rented for cash,Midwest,West-North Central,stayer,stayer,stayer,0.0,1.0,3.0,0.0,1.0,Working - as a paid employee,Yes,201008.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A building with 2 or more apartments,"$100,000 to $124,999",Living with partner,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,1.0,A one-family house attached to one or more houses,"$35,000 to $39,999",Never married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Working - as a paid employee,Yes,201108.0,Masters degree,Bachelor's degree or higher,17.0,Hispanic,"Yes, pp3 data is newer and available"
Yes,1.0,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro,Owned or being bought by you or someone in your household,South,West-South Central,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Not working - retired,Yes,201107.0,10th grade,Less than high school,10.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
No,3.0,A one-family house detached from any other house,"$10,000 to $12,499",Never married,Metro,Rented for cash,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,3.0,0.0,0.0,Working - as a paid employee,Yes,201007.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,1.0,A building with 2 or more apartments,"$100,000 to $124,999",Never married,Metro,Rented for cash,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,Bachelors degree,Bachelor's degree or higher,16.0,"Other, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,1.0,A one-family house attached to one or more houses,"Less than $5,000",Divorced,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Working - self-employed,Yes,201107.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A mobile home,"$12,500 to $14,999",Widowed,Metro,Owned or being bought by you or someone in your household,West,Pacific,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201106.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
No,5.0,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Owned or being bought by you or someone in your household,West,Pacific,stayer,stayer,stayer,0.0,0.0,4.0,0.0,1.0,Not working - looking for work,Yes,201008.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,4.0,A one-family house detached from any other house,"$5,000 to $7,499",Widowed,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,,,stayer,0.0,0.0,4.0,0.0,0.0,Not working - retired,No,201106.0,7th or 8th grade,Less than high school,7.5,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
No,3.0,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,1.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201106.0,Masters degree,Bachelor's degree or higher,17.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,mover,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,1.0,A one-family house detached from any other house,"$35,000 to $39,999",Never married,Metro,Owned or being bought by you or someone in your household,Midwest,West-North Central,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,1.0,A one-family house detached from any other house,"$15,000 to $19,999",Widowed,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Not working - retired,No,201106.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201106.0,Masters degree,Bachelor's degree or higher,17.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,2.0,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201108.0,Masters degree,Bachelor's degree or higher,17.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-Metro,Owned or being bought by you or someone in your household,Northeast,New England,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,2.0,A one-family house detached from any other house,"$25,000 to $29,999",Divorced,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201107.0,"Some college, no degree",Some college,13.0,"Black, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,1.0,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Working - self-employed,Yes,201106.0,Professional or Doctorate degree,Bachelor's degree or higher,20.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,4.0,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Owned or being bought by you or someone in your household,South,West-South Central,stayer,stayer,stayer,1.0,0.0,2.0,0.0,1.0,Working - as a paid employee,Yes,201107.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house attached to one or more houses,"$40,000 to $49,999",Married,Metro,Rented for cash,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - looking for work,No,201107.0,10th grade,Less than high school,10.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,1.0,A one-family house detached from any other house,"$12,500 to $14,999",Divorced,Metro,Rented for cash,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Not working - retired,Yes,201106.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"Black, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
Yes,2.0,A one-family house detached from any other house,"$5,000 to $7,499",Living with partner,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - self-employed,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Owned or being bought by you or someone in your household,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201107.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,4.0,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Owned or being bought by you or someone in your household,Midwest,West-North Central,stayer,stayer,stayer,0.0,0.0,2.0,1.0,1.0,Not working - looking for work,Yes,201007.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,5.0,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,5.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,1.0,A building with 2 or more apartments,"$5,000 to $7,499",Never married,Metro,Rented for cash,South,South Atlantic,stayer,stayer,stayer,0.0,0.0,1.0,0.0,0.0,Not working - looking for work,No,201106.0,Bachelors degree,Bachelor's degree or higher,16.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Not working - retired,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"2+ Races, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,2.0,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,12.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
No,3.0,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Rented for cash,West,Pacific,stayer,stayer,stayer,0.0,1.0,2.0,0.0,0.0,Working - as a paid employee,Yes,201107.0,Masters degree,Bachelor's degree or higher,17.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,4.0,A one-family house detached from any other house,"$20,000 to $24,999",Married,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,2.0,2.0,0.0,Not working - looking for work,Yes,201105.0,"Some college, no degree",Some college,13.0,"Other, Non-Hispanic","Yes, pp3 data is newer and available"
Yes,3.0,A one-family house detached from any other house,"$25,000 to $29,999",Married,Metro,Owned or being bought by you or someone in your household,Midwest,East-North Central,stayer,stayer,stayer,0.0,0.0,3.0,0.0,0.0,Not working - retired,Yes,201007.0,9th grade,Less than high school,9.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
No,5.0,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Metro,Owned or being bought by you or someone in your household,Northeast,Mid-Atlantic,stayer,stayer,stayer,0.0,0.0,5.0,0.0,0.0,Working - as a paid employee,Yes,201106.0,"Some college, no degree",Some college,13.0,"White, Non-Hispanic","Yes, pp3 data is newer and available"
,,,,,,,,,stayer,,,,,,,,,,,,,,,"no, newer pp3 data is Not available"
