caseid_new,weight1,weight2,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphouseholdsize,pphouse,ppincimp,hhinc,ppmarit,ppmsacat,ppreg4,ppreg9,pprent,ppt01,ppt1317,ppt18ov,ppt25,ppt612,children_in_hh,ppwork,ppnet,ppq14arace,pphispan,pprace_white,pprace_black,pprace_nativeamerican,pprace_asianindian,pprace_chinese,pprace_filipino,pprace_japanese,pprace_korean,pprace_vietnamese,pprace_otherasian,pprace_hawaiian,pprace_guamanian,pprace_samoan,pprace_otherpacificislander,pprace_someotherrace,papglb_friend,pppartyid3,papevangelical,papreligion,ppppcmdate_yrmo,pppadate_yrmo
1008275,77334,77334.0,27,25-34,18-29,"some college, no degree",some college,"white, non-hispanic",female,no,4,a one-family house detached from any other house,"$85,000 to $99,999",92250.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,4,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,other christian,200710.0,200710.0
1009361,60804,60804.0,36,35-44,30-44,"some college, no degree",some college,"white, non-hispanic",male,yes,3,a one-family house attached to one or more houses,"$50,000 to $59,999",55000.0,married,metro,west,mountain,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200801.0,200711.0
1010732,177815,177815.0,73,65-74,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$25,000 to $29,999",27250.0,widowed,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,yes,baptist-any denomination,200710.0,200709.0
1011511,8357,8357.0,51,45-54,45-59,12th grade no diploma,less than high school,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,baptist-any denomination,200710.0,200709.0
1012583,46137,,58,55-64,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,no,2,a building with 2 or more apartments,"$15,000 to $19,999",17250.0,divorced,metro,northeast,new england,occupied without payment of cash rent,0,0,2,0,0,0,not working - other,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,catholic,200711.0,200709.0
1013451,46341,46341.0,45,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,4,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,non-metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,4,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200901.0,200604.0
1014645,60494,,64,55-64,60+,professional or doctorate degree,bachelor's degree or higher,"white, non-hispanic",female,yes,1,a building with 2 or more apartments,"$10,000 to $12,499",11250.0,never married,metro,midwest,west-north central,rented for cash,0,0,1,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200710.0,200709.0
1015371,87330,87330.0,37,35-44,30-44,bachelors degree,bachelor's degree or higher,"black, non-hispanic",male,yes,4,a one-family house detached from any other house,"$85,000 to $99,999",92250.0,married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,pentecostal,200710.0,200710.0
1016205,72188,,20,18-24,18-29,"some college, no degree",some college,"white, non-hispanic",female,no,3,a one-family house detached from any other house,"$85,000 to $99,999",92250.0,never married,metro,south,west-south central,owned or being bought by you or someone in your household,0,0,5,0,0,0,not working - other,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,baptist-any denomination,200710.0,200709.0
1017606,155155,155155.0,60,55-64,60+,high school graduate - high school diploma or the equivalent (ged),high school,hispanic,male,yes,2,a one-family house attached to one or more houses,"$40,000 to $49,999",45000.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"yes, puerto rican",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200711.0,200709.0
1018641,43751,43751.0,64,55-64,60+,associate degree,some college,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$85,000 to $99,999",92250.0,married,non-metro,west,pacific,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",republican,no,none,200710.0,200709.0
1021791,110587,110587.0,79,75+,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,eastern orthodox,200712.0,200711.0
1022721,95398,95398.0,72,65-74,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$35,000 to $39,999",37250.0,married,metro,west,pacific,rented for cash,0,0,2,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,"other non-christian, please specify:",200710.0,200711.0
1023721,45384,45384.0,72,65-74,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,married,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,catholic,200710.0,200710.0
1024643,101166,101166.0,64,55-64,60+,"some college, no degree",some college,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,divorced,non-metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
1025543,30276,,54,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",female,yes,2,a building with 2 or more apartments,"$60,000 to $74,999",67250.0,divorced,metro,northeast,new england,rented for cash,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,jewish,200801.0,200802.0
1026381,36682,36682.0,38,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,3,a building with 2 or more apartments,"$12,500 to $14,999",13750.0,married,non-metro,west,pacific,rented for cash,0,0,3,0,0,0,not working - other,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,other christian,200711.0,200712.0
1029571,32815,32815.0,57,55-64,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,3,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,married,non-metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - other,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
1030441,48240,48240.0,44,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,3,a one-family house detached from any other house,"$100,000 to $124,999",112250.0,married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,3,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
1031721,126320,126320.0,72,65-74,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,3,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,other christian,200712.0,200712.0
1032405,212477,,40,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"black, non-hispanic",male,yes,2,a building with 2 or more apartments,"$40,000 to $49,999",45000.0,never married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,baptist-any denomination,200801.0,200709.0
1033811,62334,62334.0,81,75+,60+,12th grade no diploma,less than high school,"white, non-hispanic",male,no,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,non-metro,south,east-south central,owned or being bought by you or someone in your household,0,0,3,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200712.0
1034483,167009,167009.0,48,45-54,45-59,11th grade,less than high school,"black, non-hispanic",male,yes,1,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,divorced,metro,midwest,east-north central,rented for cash,0,2,4,0,1,3,working - self-employed,yes,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,i would prefer to not answer this question,democrat,yes,baptist-any denomination,200804.0,200806.0
1035596,1959,1959.0,59,55-64,45-59,masters degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$150,000 to $174,999",162250.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,catholic,200711.0,200712.0
1036721,27018,27018.0,72,65-74,60+,9th grade,less than high school,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,married,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,catholic,200712.0,200711.0
1037633,86280,86280.0,63,55-64,60+,11th grade,less than high school,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,divorced,metro,west,mountain,owned or being bought by you or someone in your household,0,0,3,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,catholic,200710.0,200709.0
1038241,36948,36948.0,24,18-24,18-29,"some college, no degree",some college,"white, non-hispanic",female,yes,3,a one-family house detached from any other house,"$20,000 to $24,999",22250.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,2,2,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",republican,no,baptist-any denomination,200711.0,200710.0
1039481,51465,51465.0,48,45-54,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,3,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,1,3,0,0,1,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200711.0
1040361,32984,32984.0,36,35-44,30-44,masters degree,bachelor's degree or higher,hispanic,female,yes,2,a building with 2 or more apartments,"$100,000 to $124,999",112250.0,married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"yes, central american",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200804.0,200805.0
1041291,6768,6768.0,29,25-34,18-29,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$35,000 to $39,999",37250.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200710.0,200709.0
1043811,68810,68810.0,81,75+,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,married,metro,south,west-south central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
1044601,68766,68766.0,60,55-64,60+,associate degree,some college,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$75,000 to $84,999",80000.0,married,non-metro,south,west-south central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,yes,other christian,200710.0,200711.0
1045611,57281,57281.0,61,55-64,60+,11th grade,less than high school,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$25,000 to $29,999",27250.0,married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - other,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
1046321,14886,14886.0,32,25-34,30-44,associate degree,some college,hispanic,male,yes,3,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,white,"yes, puerto rican",yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200802.0,200712.0
1047765,30844,,76,75+,60+,high school graduate - high school diploma or the equivalent (ged),high school,"black, non-hispanic",male,yes,1,a one-family house detached from any other house,"$12,500 to $14,999",13750.0,never married,metro,northeast,mid-atlantic,rented for cash,0,0,1,0,0,0,not working - retired,no,not asked,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,yes,pentecostal,200710.0,200709.0
1048266,43142,43142.0,26,25-34,18-29,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,no,4,a mobile home,"$15,000 to $19,999",17250.0,living with partner,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,3,0,0,0,not working - disabled,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,none,200710.0,200709.0
1050395,3884,3884.0,39,35-44,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200711.0,200709.0
1051525,2314,,52,45-54,45-59,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a one-family house attached to one or more houses,"$15,000 to $19,999",17250.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,none,200804.0,200711.0
1052595,4075,4075.0,59,55-64,45-59,masters degree,bachelor's degree or higher,hispanic,male,yes,1,a one-family house attached to one or more houses,"$125,000 to $149,999",137250.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"yes, other spanish/hispanic/latino",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200712.0,200709.0
1054833,15612,,83,75+,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,1,a one-family house attached to one or more houses,"$12,500 to $14,999",13750.0,divorced,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200712.0,200709.0
1055665,131713,,66,65-74,60+,associate degree,some college,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,never married,non-metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
1057782,47417,47417.0,78,75+,60+,10th grade,less than high school,"white, non-hispanic",female,yes,1,a one-family house detached from any other house,"$25,000 to $29,999",27250.0,widowed,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200711.0,200709.0
1058195,57634,57634.0,19,18-24,18-29,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,no,6,a one-family house detached from any other house,"$125,000 to $149,999",137250.0,never married,metro,midwest,west-north central,rented for cash,0,1,3,0,2,3,not working - on temporary layoff from a job,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,catholic,200801.0,200710.0
1059286,38015,38015.0,28,25-34,18-29,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,no,4,a one-family house detached from any other house,"$100,000 to $124,999",112250.0,living with partner,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,none,200710.0,200709.0
1060515,62673,,51,45-54,45-59,masters degree,bachelor's degree or higher,hispanic,male,yes,2,a one-family house attached to one or more houses,"$60,000 to $74,999",67250.0,never married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"yes, puerto rican",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,catholic,200806.0,200806.0
1061491,82949,82949.0,49,45-54,45-59,10th grade,less than high school,"white, non-hispanic",female,yes,4,a one-family house detached from any other house,"$150,000 to $174,999",162250.0,married,metro,south,west-south central,owned or being bought by you or someone in your household,0,0,3,0,0,0,working - self-employed,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,other christian,200710.0,200711.0
1062551,169785,169785.0,55,55-64,45-59,high school graduate - high school diploma or the equivalent (ged),high school,hispanic,female,yes,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"yes, south american",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,no,catholic,200711.0,200709.0
1064496,66725,66725.0,49,45-54,45-59,associate degree,some college,"white, non-hispanic",male,no,6,a one-family house detached from any other house,"$15,000 to $19,999",17250.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,0,not working - disabled,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,no,other christian,200710.0,200709.0
1065335,64418,,33,25-34,30-44,"some college, no degree",some college,"white, non-hispanic",male,no,4,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,never married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,0,not working - looking for work,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,no,other christian,200711.0,200709.0
1067305,5007,,30,25-34,30-44,bachelors degree,bachelor's degree or higher,"other, non-hispanic",male,yes,1,a building with 2 or more apartments,"$100,000 to $124,999",112250.0,never married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200710.0,200709.0
1069616,4581,4581.0,61,55-64,60+,"some college, no degree",some college,hispanic,male,no,3,a building with 2 or more apartments,"$85,000 to $99,999",92250.0,living with partner,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,3,0,0,0,not working - other,yes,not asked,"yes, puerto rican",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,yes,other christian,200710.0,200709.0
1070563,65781,,56,55-64,45-59,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,1,a one-family house attached to one or more houses,"$10,000 to $12,499",11250.0,divorced,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - looking for work,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,other christian,200712.0,200802.0
1072822,44888,,82,75+,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,1,a mobile home,"$10,000 to $12,499",11250.0,widowed,metro,west,pacific,owned or being bought by you or someone in your household,0,0,1,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200712.0,200709.0
1073351,218051,218051.0,35,35-44,30-44,12th grade no diploma,less than high school,"white, non-hispanic",female,yes,4,a one-family house detached from any other house,"$40,000 to $49,999",45000.0,married,metro,northeast,new england,owned or being bought by you or someone in your household,0,0,2,0,2,2,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",republican,no,none,200710.0,200710.0
1074381,70141,70141.0,38,35-44,30-44,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",female,yes,4,a building with 2 or more apartments,"$40,000 to $49,999",45000.0,married,metro,west,pacific,rented for cash,0,0,2,1,1,2,not working - other,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,catholic,200801.0,200801.0
1075832,140814,140814.0,83,75+,60+,7th or 8th grade,less than high school,"white, non-hispanic",female,yes,3,a one-family house detached from any other house,"less than $5,000",2500.0,widowed,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,3,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200807.0,200807.0
1076291,63983,63983.0,29,25-34,18-29,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,married,metro,south,west-south central,rented for cash,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,yes,other christian,200710.0,200709.0
1078631,53759,53759.0,63,55-64,60+,high school graduate - high school diploma or the equivalent (ged),high school,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$50,000 to $59,999",55000.0,married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",democrat,no,catholic,200712.0,200712.0
1079255,67881,67881.0,25,25-34,18-29,masters degree,bachelor's degree or higher,"white, non-hispanic",male,no,2,a one-family house detached from any other house,"$175,000 or more",200000.0,never married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,4,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, relatives",democrat,no,catholic,200801.0,200709.0
1080831,56449,56449.0,83,75+,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a building with 2 or more apartments,"$50,000 to $59,999",55000.0,married,metro,south,south atlantic,rented for cash,0,0,2,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200710.0
1081505,83101,,50,45-54,45-59,"some college, no degree",some college,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$20,000 to $24,999",22250.0,never married,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,1,0,0,0,working - as a paid employee,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,republican,no,baptist-any denomination,200710.0,200709.0
1082842,87544,,84,75+,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,1,a one-family house detached from any other house,"$20,000 to $24,999",22250.0,widowed,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,no,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",republican,yes,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
1083446,1698,1698.0,44,35-44,30-44,bachelors degree,bachelor's degree or higher,"white, non-hispanic",female,yes,2,a one-family house detached from any other house,"$100,000 to $124,999",112250.0,living with partner,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200712.0,200709.0
1084706,1838,1838.0,70,65-74,60+,bachelors degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$60,000 to $74,999",67250.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,not working - retired,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, both",democrat,no,none,200805.0,200805.0
1085626,1885,1885.0,62,55-64,60+,masters degree,bachelor's degree or higher,"white, non-hispanic",male,yes,2,a one-family house detached from any other house,"$150,000 to $174,999",162250.0,living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,0,working - as a paid employee,yes,not asked,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",200710.0,200709.0
