caseid_new,pp4_ppeduc,pp4_ppeducat,pp4_ppethm,pp4_pphhhead,pp4_pphhsize,pp4_pphouse,pp4_ppincimp,pp4_ppmarit,pp4_ppmsacat,pp4_ppreg4,pp4_ppreg9,pp4_pprent,pp4_ppt01,pp4_ppt25,pp4_ppt612,pp4_ppt1317,pp4_ppt18ov,pp4_ppwork,pp4_ppnet,pp4_ppcmdate_yrmo,pp4_newer,ppa2009_services_yrmo,ppa2009_how_often_services
819481,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
820666,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$75,000 to $84,999",Living with partner,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200903.0,Never
821611,7th or 8th grade,Less than high school,"White, Non-Hispanic",No,10,A one-family house detached from any other house,"$12,500 to $14,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,3,7,Not working - disabled,Yes,200710.0,No,200902.0,Once a week
822235,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"Less than $5,000",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,200905.0,No,200903.0,A few times a year
824713,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$7,500 to $9,999",Divorced,Metro,South,South Atlantic,Occupied without payment of cash rent,0,0,0,0,1,Not working - retired,No,201007.0,No,200903.0,Never
825281,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,6,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,1,1,2,0,2,Not working - other,Yes,201305.0,Yes,200902.0,Once a week
826486,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$7,500 to $9,999",Widowed,Metro,West,Pacific,Rented for cash,0,0,0,0,1,Not working - disabled,No,201308.0,Yes,200903.0,Once a year or less
827952,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"Less than $5,000",Widowed,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Not working - retired,Yes,201303.0,Yes,200904.0,More than once a week
828286,"Some college, no degree",Some college,"White, Non-Hispanic",No,4,A one-family house detached from any other house,"$50,000 to $59,999",Married,Non-Metro,West,Mountain,Rented for cash,0,0,1,0,3,Working - as a paid employee,Yes,201007.0,No,200903.0,Once or twice a month
829216,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once or twice a month
830551,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"Less than $5,000",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Not working - disabled,Yes,201305.0,Yes,200906.0,Once a week
831431,12th grade NO DIPLOMA,Less than high school,Hispanic,Yes,4,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - as a paid employee,Yes,201106.0,No,200910.0,Once a week
832551,7th or 8th grade,Less than high school,"Other, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$7,500 to $9,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,1,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once or twice a month
833543,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,2,A one-family house detached from any other house,"$7,500 to $9,999",Widowed,Metro,South,West-South Central,Rented for cash,0,0,0,0,2,Not working - disabled,No,201305.0,Yes,200903.0,
834531,10th grade,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,201305.0,Yes,200902.0,Once a year or less
836491,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,No,201007.0,No,200903.0,Once a week
837215,"Some college, no degree",Some college,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201110.0,Yes,200902.0,Once or twice a month
838523,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$25,000 to $29,999",Living with partner,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200903.0,
839386,Associate degree,Some college,"2+ Races, Non-Hispanic",Yes,8,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,1,0,0,7,Working - as a paid employee,Yes,201107.0,No,200905.0,Once or twice a month
840205,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200902.0,A few times a year
841581,"Some college, no degree",Some college,"Black, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,200905.0,No,200903.0,Once a week
842195,"Some college, no degree",Some college,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$125,000 to $149,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200902.0,
843215,"Some college, no degree",Some college,"White, Non-Hispanic",No,2,A building with 2 or more apartments,"$85,000 to $99,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,200807.0,No,200810.0,
844645,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$10,000 to $12,499",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Not working - disabled,No,201007.0,No,200903.0,A few times a year
845465,"Some college, no degree",Some college,"Black, Non-Hispanic",No,1,A one-family house detached from any other house,"$10,000 to $12,499",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - looking for work,Yes,201305.0,Yes,200903.0,
846681,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,No,200904.0,No,200903.0,A few times a year
847471,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A mobile home,"$30,000 to $34,999",Married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200904.0,
848275,Professional or Doctorate degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$60,000 to $74,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200902.0,Once a year or less
849591,10th grade,Less than high school,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$20,000 to $24,999",Married,Metro,West,Mountain,Rented for cash,0,0,0,0,2,Not working - disabled,Yes,201306.0,Yes,200903.0,Once a year or less
850621,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A one-family house attached to one or more houses,"$10,000 to $12,499",Married,Metro,West,Mountain,Occupied without payment of cash rent,0,0,0,0,2,Not working - disabled,Yes,201008.0,No,200903.0,Once a year or less
851405,Masters degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,1,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
852291,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,West,,Owned or being bought by you or someone in your household,0,2,0,0,3,Working - as a paid employee,Yes,200904.0,No,200902.0,Never
853265,Associate degree,Some college,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,200904.0,No,200902.0,A few times a year
854321,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,No,6,A one-family house detached from any other house,"$15,000 to $19,999",Married,Non-Metro,South,West-South Central,Rented for cash,0,0,2,2,2,Working - as a paid employee,Yes,201106.0,No,200904.0,More than once a week
855291,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A mobile home,"$30,000 to $34,999",Married,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,1,0,2,Not working - other,Yes,200904.0,No,200902.0,Never
857421,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,201307.0,Yes,200905.0,Never
859443,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$85,000 to $99,999",Divorced,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
860495,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A one-family house attached to one or more houses,"$85,000 to $99,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201306.0,Yes,200905.0,Never
862571,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,Yes,200904.0,No,200903.0,
863321,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,201305.0,Yes,200902.0,Never
864491,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200905.0,No,200903.0,Once a week
865761,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$20,000 to $24,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,No,200904.0,No,200902.0,Once a week
866281,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$150,000 to $174,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,5,Working - as a paid employee,Yes,201308.0,Yes,200903.0,
867591,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Non-Metro,West,,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,Yes,200905.0,No,200904.0,More than once a week
869435,"Some college, no degree",Some college,"2+ Races, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$5,000 to $7,499",Never married,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Not working - disabled,No,200904.0,No,200903.0,Once a year or less
870281,Associate degree,Some college,"White, Non-Hispanic",Yes,5,A mobile home,"$100,000 to $124,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,1,0,2,0,2,Not working - other,Yes,201209.0,Yes,200903.0,A few times a year
871691,10th grade,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$20,000 to $24,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,No,201304.0,Yes,200903.0,Once or twice a month
872215,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,4,A one-family house detached from any other house,"$125,000 to $149,999",Never married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
873623,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$15,000 to $19,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,No,200907.0,No,200902.0,Once or twice a month
874205,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,West,Mountain,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201009.0,No,200902.0,
875485,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,"Boat, RV, van, etc.","$10,000 to $12,499",Never married,Non-Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,No,201305.0,Yes,200902.0,Once a year or less
876325,Masters degree,Bachelor's degree or higher,"Other, Non-Hispanic",No,3,A one-family house detached from any other house,"$50,000 to $59,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200903.0,
877525,"Some college, no degree",Some college,"Black, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$25,000 to $29,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,200907.0,No,200903.0,Once a year or less
878321,Professional or Doctorate degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$75,000 to $84,999",Married,Metro,Northeast,New England,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Never
879303,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,2,A building with 2 or more apartments,"Less than $5,000",Never married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Not working - looking for work,No,201206.0,Yes,200903.0,Once a week
880235,Associate degree,Some college,"White, Non-Hispanic",Yes,3,A one-family house attached to one or more houses,"$12,500 to $14,999",Never married,Non-Metro,West,Pacific,Rented for cash,0,0,0,0,3,Working - as a paid employee,Yes,201107.0,No,200903.0,
881325,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$40,000 to $49,999",Living with partner,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - looking for work,Yes,200905.0,No,200903.0,Once a year or less
882515,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,1,0,1,Working - as a paid employee,No,200904.0,No,200903.0,Once a week
883411,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,5,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,5,Working - as a paid employee,Yes,201009.0,No,200903.0,Once a year or less
884575,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$60,000 to $74,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - on temporary layoff from a job,Yes,201305.0,Yes,200903.0,Once a year or less
885511,11th grade,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,200904.0,No,200903.0,Once a year or less
886295,10th grade,Less than high school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$20,000 to $24,999",Never married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,2,1,Working - as a paid employee,Yes,200906.0,No,200903.0,A few times a year
887421,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,1,2,Working - as a paid employee,Yes,201007.0,No,200903.0,Once a year or less
888391,Associate degree,Some college,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$100,000 to $124,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,1,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,A few times a year
889295,Professional or Doctorate degree,Bachelor's degree or higher,"Other, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201309.0,Yes,200902.0,
890553,12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$20,000 to $24,999",Divorced,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,1,Not working - disabled,Yes,201305.0,Yes,200903.0,Once or twice a month
891551,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200905.0,Never
892453,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$50,000 to $59,999",Divorced,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,2,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a week
893505,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A mobile home,"$25,000 to $29,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Not working - on temporary layoff from a job,No,200905.0,No,200903.0,More than once a week
894795,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$10,000 to $12,499",Widowed,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,Yes,201305.0,Yes,200905.0,Never
895411,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - disabled,Yes,201305.0,Yes,200905.0,Never
896413,Associate degree,Some college,Hispanic,No,3,A one-family house detached from any other house,"$50,000 to $59,999",Divorced,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,2,1,Working - as a paid employee,Yes,201306.0,Yes,200903.0,Never
897553,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Other, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$5,000 to $7,499",Divorced,Non-Metro,South,East-South Central,Rented for cash,0,0,0,0,1,Not working - disabled,No,201007.0,No,200903.0,More than once a week
898456,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$40,000 to $49,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Working - self-employed,Yes,201305.0,Yes,200903.0,Once or twice a month
899246,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201305.0,Yes,200904.0,A few times a year
900391,"Some college, no degree",Some college,Hispanic,Yes,4,A one-family house detached from any other house,"$20,000 to $24,999",Married,Metro,West,Pacific,Rented for cash,0,0,1,0,3,Not working - looking for work,Yes,201207.0,Yes,200902.0,Never
901691,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,3,A mobile home,"$25,000 to $29,999",Married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Not working - retired,No,200904.0,No,200904.0,Once or twice a month
902521,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",No,4,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Not working - retired,Yes,201305.0,Yes,200903.0,A few times a year
903206,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$10,000 to $12,499",Living with partner,Metro,West,,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,Yes,200904.0,No,200902.0,Never
904751,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200907.0,No,200903.0,More than once a week
905491,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,No,200907.0,No,200903.0,Once a year or less
906593,11th grade,Less than high school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$7,500 to $9,999",Separated,Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,3,Not working - disabled,Yes,200904.0,No,200902.0,
907301,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,1,1,0,2,Working - as a paid employee,Yes,201306.0,Yes,200902.0,A few times a year
909792,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$30,000 to $34,999",Widowed,Metro,West,Mountain,Rented for cash,0,0,0,0,1,Not working - retired,Yes,200904.0,No,200903.0,Once or twice a month
910521,Associate degree,Some college,"White, Non-Hispanic",Yes,2,A mobile home,"$50,000 to $59,999",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200904.0,No,200904.0,Once a week
912315,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$25,000 to $29,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - disabled,Yes,200904.0,No,200902.0,
914265,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"2+ Races, Non-Hispanic",No,5,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,5,Not working - other,Yes,201305.0,Yes,200903.0,
915555,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$150,000 to $174,999",Never married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - self-employed,Yes,201305.0,Yes,200903.0,
916433,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Yes,4,A building with 2 or more apartments,"$5,000 to $7,499",Divorced,Metro,West,Pacific,Rented for cash,0,1,0,0,3,Not working - disabled,No,201002.0,No,200902.0,Never
918235,Bachelors degree,Bachelor's degree or higher,"Other, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201107.0,No,200902.0,Once or twice a month
919582,7th or 8th grade,Less than high school,"Black, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$7,500 to $9,999",Widowed,Non-Metro,West,Mountain,Rented for cash,0,0,0,0,1,Not working - disabled,No,201307.0,Yes,200903.0,
920682,7th or 8th grade,Less than high school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$35,000 to $39,999",Widowed,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,1,3,Not working - retired,Yes,201105.0,No,200903.0,More than once a week
921395,Associate degree,Some college,"Black, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$20,000 to $24,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201305.0,Yes,200903.0,Once a year or less
922591,12th grade NO DIPLOMA,Less than high school,"Other, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305.0,Yes,200902.0,A few times a year
923466,"Some college, no degree",Some college,"Other, Non-Hispanic",No,2,A one-family house attached to one or more houses,"$100,000 to $124,999",Living with partner,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305.0,Yes,200903.0,A few times a year
924602,"Some college, no degree",Some college,"Black, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$25,000 to $29,999",Widowed,Metro,South,West-South Central,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,201007.0,No,200903.0,Once a week
925885,Masters degree,Bachelor's degree or higher,"Other, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$15,000 to $19,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Not working - retired,No,200904.0,No,200903.0,More than once a week
926551,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200904.0,No,200903.0,Never
927581,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",No,1,A one-family house detached from any other house,"$5,000 to $7,499",Never married,Metro,South,West-South Central,Occupied without payment of cash rent,0,0,0,0,1,Not working - disabled,No,201107.0,No,200903.0,More than once a week
928523,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$5,000 to $7,499",Divorced,Non-Metro,Midwest,East-North Central,Rented for cash,0,0,0,0,1,Not working - disabled,No,201305.0,Yes,200903.0,More than once a week
